Slovo;Číslo;Slovo2;Číslo2
Po;;Po;
celý;jednotné;celý;jednotné
čas;jednotné;čas;jednotné
som;jednotné;som;jednotné
sa;;sa;
díval;jednotné;díval;jednotné
smerom;;smerom;jednotné
k;množné;k;
pásmu;jednotné;pásmu;jednotné
kde;;kde;
sa;;sa;
zástup;jednotné;zástup;jednotné
žien;množné;žien;množné
tlačil;jednotné;tlačil;jednotné
pred;;pred;
skleným;množné;skleným;jednotné
priečelím;jednotné;priečelím;jednotné
obchodu;jednotné;obchodu;jednotné
Podľa;;Podľa;
jej;množné;jej;jednotné
interpretácie;množné;interpretácie;jednotné
sa;;sa;
otočila;jednotné;otočila;jednotné
chrbtom;množné;chrbtom;jednotné
kvôli;;kvôli;
mne;jednotné;mne;jednotné
Keď;;Keď;
vystúpila;jednotné;vystúpila;jednotné
z;množné;z;
pásma;množné;pásma;jednotné
žltkastého;jednotné;žltkastého;jednotné
svitu;jednotné;svitu;jednotné
a;množné;a;
na;;na;
chvíľu;;chvíľu;jednotné
zastala;jednotné;zastala;jednotné
na;;na;
rozhraní;množné;rozhraní;jednotné
medzi;;medzi;
svetlom;jednotné;svetlom;jednotné
a;množné;a;
temnotou;jednotné;temnotou;jednotné
som;jednotné;som;jednotné
na;;na;
to;jednotné;to;jednotné
že;;že;
ide;jednotné;ide;jednotné
priamo;;priamo;
ku;;ku;
mne;jednotné;mne;jednotné
aby;jednotné;aby;
napravila;jednotné;napravila;jednotné
chybnú;jednotné;chybnú;jednotné
interpretáciu;jednotné;interpretáciu;jednotné
vecí;množné;vecí;množné
ktorú;jednotné;ktorú;jednotné
vyprodukoval;jednotné;vyprodukoval;jednotné
môj;jednotné;môj;jednotné
mozog;jednotné;mozog;jednotné
Skutočnosť;jednotné;Skutočnosť;jednotné
bola;jednotné;bola;jednotné
jednoduchšia;jednotné;jednoduchšia;jednotné
Určený;jednotné;Určený;jednotné
čas;jednotné;čas;jednotné
a;množné;a;
meno;jednotné;meno;jednotné
kina;jednotné;kina;jednotné
mi;jednotné;mi;jednotné
utkveli;množné;utkveli;množné
v;;v;
mozgu;jednotné;mozgu;jednotné
To;jednotné;To;jednotné
znamená;jednotné;znamená;jednotné
že;;že;
v;;v;
tom;jednotné;tom;jednotné
čase;jednotné;čase;jednotné
a;množné;a;
na;;na;
tom;jednotné;tom;jednotné
mieste;jednotné;mieste;jednotné
bude;jednotné;bude;jednotné
aj;;aj;
ona;jednotné;ona;jednotné
V;;V;
obvodnom;jednotné;obvodnom;jednotné
kine;jednotné;kine;jednotné
vzdialenom;jednotné;vzdialenom;jednotné
od;;od;
centra;jednotné;centra;jednotné
obyčajne;;obyčajne;
premietali;množné;premietali;množné
staré;množné;staré;množné
filmy;množné;filmy;množné
Takáto;jednotné;Takáto;jednotné
vyhliadka;jednotné;vyhliadka;jednotné
na;;na;
nadchádzajúci;jednotné;nadchádzajúci;jednotné
večer;jednotné;večer;jednotné
sa;;sa;
mi;jednotné;mi;jednotné
Neviem;;Neviem;jednotné
čo;jednotné;čo;jednotné
som;jednotné;som;jednotné
si;;si;
vymyslel;jednotné;vymyslel;jednotné
Sadol;jednotné;Sadol;jednotné
som;jednotné;som;jednotné
si;;si;
do;;do;
podniku;jednotné;podniku;jednotné
pri;;pri;
kine;jednotné;kine;jednotné
a;množné;a;
čakal;jednotné;čakal;jednotné
kým;;kým;
príde;jednotné;príde;jednotné
určená;jednotné;určená;jednotné
hodina;jednotné;hodina;jednotné
Hneď;jednotné;Hneď;
na;;na;
úvod;jednotné;úvod;jednotné
som;jednotné;som;jednotné
urobil;jednotné;urobil;jednotné
niečo;jednotné;niečo;jednotné
veľmi;;veľmi;
nerozumné;množné;nerozumné;jednotné
dal;jednotné;dal;jednotné
som;jednotné;som;jednotné
si;;si;
dvojitý;jednotné;dvojitý;jednotné
koňak;jednotné;koňak;jednotné
Aj;;Aj;
vstupné;jednotné;vstupné;množné
dvere;množné;dvere;množné
a;množné;a;
pokladňa;jednotné;pokladňa;jednotné
boli;množné;boli;množné
zatvorené;množné;zatvorené;množné
Stredný;jednotné;Stredný;jednotné
vchod;jednotné;vchod;jednotné
prvé;množné;prvé;jednotné
poschodie;jednotné;poschodie;jednotné
vpravo;;vpravo;
Zamieril;jednotné;Zamieril;jednotné
som;jednotné;som;jednotné
k;množné;k;
činžiaku;jednotné;činžiaku;jednotné
Stredný;jednotné;Stredný;jednotné
vchod;jednotné;vchod;jednotné
prvé;množné;prvé;jednotné
poschodie;jednotné;poschodie;jednotné
vpravo;;vpravo;
Dvere;množné;Dvere;množné
zamkla;jednotné;zamkla;jednotné
znútra;;znútra;
na;;na;
kľúč;jednotné;kľúč;jednotné
a;množné;a;
cez;;cez;
temnú;jednotné;temnú;jednotné
chodbu;jednotné;chodbu;jednotné
svetlo;jednotné;svetlo;jednotné
ma;jednotné;ma;jednotné
zaviedla;jednotné;zaviedla;jednotné
do;;do;
izby;množné;izby;jednotné
kde;;kde;
sme;množné;sme;množné
zastali;množné;zastali;množné
oproti;;oproti;
sebe;jednotné;sebe;jednotné
Zmocnil;jednotné;Zmocnil;jednotné
sa;;sa;
ma;jednotné;ma;jednotné
akýsi;jednotné;akýsi;jednotné
ošiaľ;jednotné;ošiaľ;jednotné
Zavrela;jednotné;Zavrela;jednotné
oči;množné;oči;množné
Objala;jednotné;Objala;jednotné
ma;jednotné;ma;jednotné
okolo;;okolo;
krku;jednotné;krku;jednotné
som;jednotné;som;jednotné
sa;;sa;
jej;množné;jej;jednotné
nič;množné;nič;jednotné
povedať;;povedať;
Iba;;Iba;
to;jednotné;to;jednotné
najdôležitejšie;množné;najdôležitejšie;jednotné
čo;jednotné;čo;jednotné
nás;množné;nás;množné
priviedlo;jednotné;priviedlo;jednotné
až;;až;
sem;;sem;
Nech;;Nech;
by;jednotné;by;
som;jednotné;som;jednotné
jej;množné;jej;jednotné
teraz;;teraz;
povedal;jednotné;povedal;jednotné
čokoľvek;jednotné;čokoľvek;jednotné
bolo;jednotné;bolo;jednotné
by;jednotné;by;
to;jednotné;to;jednotné
nevhodné;množné;nevhodné;jednotné
Nič;množné;Nič;jednotné
sme;množné;sme;množné
o;;o;
sebe;jednotné;sebe;jednotné
A;;A;
najrozumnejšie;množné;najrozumnejšie;jednotné
bude;jednotné;bude;jednotné
odísť;;odísť;
V;;V;
poslednej;jednotné;poslednej;jednotné
chvíli;jednotné;chvíli;jednotné
však;;však;
zmenila;jednotné;zmenila;jednotné
názor;jednotné;názor;jednotné
To;jednotné;To;jednotné
nás;množné;nás;množné
obidvoch;množné;obidvoch;množné
vždy;;vždy;
uvoľnilo;jednotné;uvoľnilo;jednotné
mohli;množné;mohli;množné
sme;množné;sme;množné
sa;;sa;
správať;;správať;
prirodzene;;prirodzene;
V;;V;
skutočnosti;množné;skutočnosti;jednotné
ma;jednotné;ma;jednotné
sužovala;jednotné;sužovala;jednotné
neistota;jednotné;neistota;jednotné
V;;V;
ten;jednotné;ten;jednotné
večer;jednotné;večer;jednotné
asi;;asi;
vedela;jednotné;vedela;jednotné
že;;že;
je;jednotné;je;jednotné
to;jednotné;to;jednotné
naše;množné;naše;jednotné
posledné;jednotné;posledné;jednotné
stretnutie;jednotné;stretnutie;jednotné
A;;A;
ja;množné;ja;jednotné
som;jednotné;som;jednotné
jej;množné;jej;jednotné
niečo;jednotné;niečo;jednotné
čo;jednotné;čo;jednotné
ma;jednotné;ma;jednotné
ťažilo;jednotné;ťažilo;jednotné
veľmi;;veľmi;
dlho;;dlho;
po;;po;
jej;množné;jej;jednotné
odchode;jednotné;odchode;jednotné
Na;;Na;
rozdiel;jednotné;rozdiel;jednotné
od;;od;
iných;množné;iných;množné
stretnutí;množné;stretnutí;množné
v;;v;
ten;jednotné;ten;jednotné
večer;jednotné;večer;jednotné
Chcel;jednotné;Chcel;jednotné
som;jednotné;som;jednotné
jej;množné;jej;jednotné
povedať;;povedať;
že;;že;
to;jednotné;to;jednotné
mesto;jednotné;mesto;jednotné
poznám;jednotné;poznám;jednotné
som;jednotné;som;jednotné
jej;množné;jej;jednotné
nič;množné;nič;jednotné
V;;V;
takých;množné;takých;množné
chvíľach;množné;chvíľach;množné
to;jednotné;to;jednotné
zmysel;jednotné;zmysel;jednotné
Vypil;jednotné;Vypil;jednotné
som;jednotné;som;jednotné
už;;už;
polovicu;jednotné;polovicu;jednotné
fľaše;množné;fľaše;jednotné
s;množné;s;
koňakom;množné;koňakom;jednotné
keď;;keď;
sa;;sa;
objavila;jednotné;objavila;jednotné
vo;;vo;
dverách;množné;dverách;množné
Oči;množné;Oči;množné
mala;;mala;jednotné
červené;množné;červené;množné
A;;A;
bola;jednotné;bola;jednotné
nesmierne;;nesmierne;
krásna;jednotné;krásna;jednotné
Neviem;;Neviem;jednotné
čo;jednotné;čo;jednotné
mi;jednotné;mi;jednotné
to;jednotné;to;jednotné
napadlo;jednotné;napadlo;jednotné
poprieť;;poprieť;
že;;že;
si;;si;jednotné
plakala;jednotné;plakala;jednotné
tvár;jednotné;tvár;jednotné
ktorá;jednotné;ktorá;jednotné
bývala;jednotné;bývala;jednotné
obyčajne;;obyčajne;
bledá;jednotné;bledá;jednotné
zbledla;jednotné;zbledla;jednotné
ešte;;ešte;
viac;jednotné;viac;
Jej;množné;Jej;jednotné
bledosť;jednotné;bledosť;jednotné
a;množné;a;
mlčanie;jednotné;mlčanie;jednotné
stačili;množné;stačili;množné
aby;jednotné;aby;
som;jednotné;som;jednotné
okamžite;;okamžite;
pochopil;jednotné;pochopil;jednotné
že;;že;
som;jednotné;som;jednotné
urobil;jednotné;urobil;jednotné
hlúposť;jednotné;hlúposť;jednotné
Vtedy;;Vtedy;
som;jednotné;som;jednotné
vyriekol;jednotné;vyriekol;jednotné
jediné;množné;jediné;množné
slová;množné;slová;množné
o;;o;
ktorých;množné;ktorých;množné
som;jednotné;som;jednotné
si;;si;
myslel;jednotné;myslel;jednotné
že;;že;
vystihujú;množné;vystihujú;množné
moje;množné;moje;jednotné
rozpoloženie;jednotné;rozpoloženie;jednotné
Pred;;Pred;
mojím;jednotné;mojím;jednotné
duševným;množné;duševným;jednotné
zrakom;množné;zrakom;jednotné
sa;;sa;
čosi;jednotné;čosi;jednotné
zablyslo;jednotné;zablyslo;jednotné
A;;A;
dodala;jednotné;dodala;jednotné
Narodila;jednotné;Narodila;jednotné
som;jednotné;som;jednotné
sa;;sa;
v;;v;
internácii;jednotné;internácii;jednotné
Som;jednotné;Som;jednotné
dcéra;jednotné;dcéra;jednotné
politického;jednotné;politického;jednotné
nepriateľa;jednotné;nepriateľa;jednotné
narodila;jednotné;narodila;jednotné
som;jednotné;som;jednotné
sa;;sa;
v;;v;
internácii;jednotné;internácii;jednotné
Vytriezvel;jednotné;Vytriezvel;jednotné
som;jednotné;som;jednotné
Pochopil;jednotné;Pochopil;jednotné
som;jednotné;som;jednotné
prečo;;prečo;
mi;jednotné;mi;jednotné
jej;množné;jej;jednotné
tvár;jednotné;tvár;jednotné
pripomína;jednotné;pripomína;jednotné
niečo;jednotné;niečo;jednotné
známe;množné;známe;jednotné
Mala;;Mala;jednotné
oči;množné;oči;množné
Zachvel;jednotné;Zachvel;jednotné
som;jednotné;som;jednotné
sa;;sa;
Na;;Na;
jednom;jednotné;jednom;jednotné
viečku;jednotné;viečku;jednotné
bola;jednotné;bola;jednotné
tvár;jednotné;tvár;jednotné
Na;;Na;
druhom;množné;druhom;jednotné
bola;jednotné;bola;jednotné
tvár;jednotné;tvár;jednotné
Veľmi;;Veľmi;
sa;;sa;
na;;na;
ňu;jednotné;ňu;jednotné
podobáš;jednotné;podobáš;jednotné
Čakal;jednotné;Čakal;jednotné
som;jednotné;som;jednotné
márne;;márne;
som;jednotné;som;jednotné
sa;;sa;
ho;;ho;jednotné
či;;či;
sa;;sa;
pamätá;jednotné;pamätá;jednotné
na;;na;
obdobie;jednotné;obdobie;jednotné
keď;;keď;
som;jednotné;som;jednotné
s;množné;s;
ním;jednotné;ním;jednotné
každú;jednotné;každú;jednotné
nedeľu;jednotné;nedeľu;jednotné
chodieval;jednotné;chodieval;jednotné
do;;do;
bábkového;jednotné;bábkového;jednotné
divadla;jednotné;divadla;jednotné
by;jednotné;by;
to;jednotné;to;jednotné
zmysel;jednotné;zmysel;jednotné
V;;V;
piaty;jednotné;piaty;jednotné
deň;jednotné;deň;jednotné
každého;jednotné;každého;jednotné
mesiaca;jednotné;mesiaca;jednotné
išla;jednotné;išla;jednotné
Irma;jednotné;Irma;jednotné
na;;na;
poštu;jednotné;poštu;jednotné
s;množné;s;
príslušným;množné;príslušným;jednotné
kódom;množné;kódom;jednotné
a;množné;a;
priniesla;jednotné;priniesla;jednotné
domov;jednotné;domov;
sto;množné;sto;jednotné
dolárov;množné;dolárov;množné
Ich;množné;Ich;jednotné
sústredený;jednotné;sústredený;jednotné
pohľad;jednotné;pohľad;jednotné
moju;jednotné;moju;jednotné
pozornosť;jednotné;pozornosť;jednotné
Spoznal;jednotné;Spoznal;jednotné
som;jednotné;som;jednotné
ich;množné;ich;množné
Vzal;jednotné;Vzal;jednotné
som;jednotné;som;jednotné
ho;;ho;jednotné
a;množné;a;
vypil;jednotné;vypil;jednotné
až;;až;
do;;do;
dna;jednotné;dna;jednotné
Odložil;jednotné;Odložil;jednotné
som;jednotné;som;jednotné
pohár;jednotné;pohár;jednotné
a;množné;a;
očami;množné;očami;množné
som;jednotné;som;jednotné
opäť;;opäť;
zablúdil;jednotné;zablúdil;jednotné
k;množné;k;
protiľahlým;množné;protiľahlým;množné
stolom;množné;stolom;množné
pri;;pri;
ktorých;množné;ktorých;množné
sedeli;množné;sedeli;množné
spomínaní;množné;spomínaní;množné
ľudia;množné;ľudia;množné
Kto;jednotné;Kto;jednotné
ste;jednotné;ste;množné
spýtal;jednotné;spýtal;jednotné
som;jednotné;som;jednotné
sa;;sa;
ich;množné;ich;množné
a;množné;a;
cítil;jednotné;cítil;jednotné
som;jednotné;som;jednotné
že;;že;
začínam;jednotné;začínam;jednotné
byť;;byť;
nervózny;jednotné;nervózny;jednotné
Čo;jednotné;Čo;jednotné
tu;;tu;
chcete;množné;chcete;množné
mi;jednotné;mi;jednotné
A;;A;
čo;jednotné;čo;jednotné
tu;;tu;
robíš;jednotné;robíš;jednotné
Dotyčný;jednotné;Dotyčný;jednotné
sa;;sa;
zaceril;jednotné;zaceril;jednotné
Tie;množné;Tie;množné
obleky;množné;obleky;množné
mi;jednotné;mi;jednotné
poskytli;množné;poskytli;množné
kľúč;jednotné;kľúč;jednotné
k;množné;k;
riešeniu;jednotné;riešeniu;jednotné
Týchto;množné;Týchto;množné
ľudí;množné;ľudí;množné
som;jednotné;som;jednotné
stvoril;jednotné;stvoril;jednotné
ja;množné;ja;jednotné
vyjachtal;jednotné;vyjachtal;jednotné
som;jednotné;som;jednotné
Sú;množné;Sú;množné
to;jednotné;to;jednotné
postavy;množné;postavy;množné
z;množné;z;
filmov;množné;filmov;množné
ktoré;množné;ktoré;množné
nakrútili;množné;nakrútili;množné
podľa;;podľa;
mojich;množné;mojich;množné
scenárov;množné;scenárov;množné
Veľmi;;Veľmi;
ma;jednotné;ma;jednotné
to;jednotné;to;jednotné
prekvapilo;jednotné;prekvapilo;jednotné
Mal;;Mal;jednotné
som;jednotné;som;jednotné
pred;;pred;
sebou;jednotné;sebou;jednotné
prízraky;množné;prízraky;množné
Zabudnuté;množné;Zabudnuté;množné
bytosti;množné;bytosti;množné
sa;;sa;
a;množné;a;
typy;množné;typy;množné
Páni;množné;Páni;množné
oslovil;jednotné;oslovil;jednotné
som;jednotné;som;jednotné
ich;množné;ich;množné
a;množné;a;
pokúšal;jednotné;pokúšal;jednotné
som;jednotné;som;jednotné
sa;;sa;
pôsobiť;;pôsobiť;
rozvážne;;rozvážne;
Ale;;Ale;
oni;množné;oni;množné
nič;množné;nič;jednotné
ani;;ani;
Veď;;Veď;
si;;si;jednotné
to;jednotné;to;jednotné
sám;jednotné;sám;jednotné
uznal;jednotné;uznal;jednotné
sú;množné;sú;množné
to;jednotné;to;jednotné
tvoje;množné;tvoje;množné
výtvory;množné;výtvory;množné
Napriek;;Napriek;
tomu;jednotné;tomu;jednotné
unáhlené;množné;unáhlené;množné
závery;množné;závery;množné
Húf;jednotné;Húf;jednotné
mojich;množné;mojich;množné
postáv;množné;postáv;množné
i;množné;i;
muž;jednotné;muž;jednotné
ktorý;jednotné;ktorý;jednotné
mi;jednotné;mi;jednotné
radil;jednotné;radil;jednotné
aby;jednotné;aby;
som;jednotné;som;jednotné
pohol;jednotné;pohol;jednotné
mozgom;množné;mozgom;jednotné
zmizli;množné;zmizli;množné
Dozvedel;jednotné;Dozvedel;jednotné
som;jednotné;som;jednotné
sa;;sa;
to;jednotné;to;jednotné
keď;;keď;
som;jednotné;som;jednotné
sa;;sa;
vrátil;jednotné;vrátil;jednotné
domov;jednotné;domov;
a;množné;a;
ešte;;ešte;
predtým;;predtým;
urobil;jednotné;urobil;jednotné
jeden;jednotné;jeden;jednotné
pokus;jednotné;pokus;jednotné
Keď;;Keď;
sme;množné;sme;množné
prišli;množné;prišli;množné
domov;jednotné;domov;
povedal;jednotné;povedal;jednotné
som;jednotné;som;jednotné
im;množné;im;množné
aby;jednotné;aby;
išli;množné;išli;množné
do;;do;
izby;množné;izby;jednotné
Sám;jednotné;Sám;jednotné
som;jednotné;som;jednotné
zostal;jednotné;zostal;jednotné
pri;;pri;
dverách;množné;dverách;množné
od;;od;
bytu;jednotné;bytu;jednotné
Mal;;Mal;jednotné
dlhý;jednotné;dlhý;jednotné
kabát;jednotné;kabát;jednotné
golier;jednotné;golier;jednotné
okuliare;množné;okuliare;množné
so;;so;
strieborným;množné;strieborným;jednotné
rámom;množné;rámom;jednotné
červenastú;jednotné;červenastú;jednotné
tvár;jednotné;tvár;jednotné
a;množné;a;
husté;množné;husté;množné
šedivé;množné;šedivé;množné
vlasy;množné;vlasy;množné
Haló;;Haló;
povedal;jednotné;povedal;jednotné
som;jednotné;som;jednotné
Unavený;jednotné;Unavený;jednotné
otrávený;jednotné;otrávený;jednotné
Na;;Na;
moje;množné;moje;jednotné
haló;;haló;
sa;;sa;
ozval;jednotné;ozval;jednotné
doktorov;jednotné;doktorov;jednotné
známy;jednotné;známy;jednotné
hlas;jednotné;hlas;jednotné
Povedal;jednotné;Povedal;jednotné
že;;že;
v;;v;
Paríži;jednotné;Paríži;jednotné
prší;jednotné;prší;jednotné
som;jednotné;som;jednotné
prečo;;prečo;
mi;jednotné;mi;jednotné
to;jednotné;to;jednotné
hovorí;jednotné;hovorí;jednotné
Veril;jednotné;Veril;jednotné
som;jednotné;som;jednotné
mu;jednotné;mu;jednotné
Zostal;jednotné;Zostal;jednotné
som;jednotné;som;jednotné
so;;so;
slúchadlom;jednotné;slúchadlom;jednotné
v;;v;
ruke;jednotné;ruke;jednotné
a;množné;a;
pozoroval;jednotné;pozoroval;jednotné
som;jednotné;som;jednotné
deti;množné;deti;množné
Nič;množné;Nič;jednotné
nie;;nie;
je;jednotné;je;jednotné
skutočné;množné;skutočné;jednotné
usúdil;jednotné;usúdil;jednotné
som;jednotné;som;jednotné
nakoniec;;nakoniec;
A;;A;
položil;jednotné;položil;jednotné
som;jednotné;som;jednotné
slúchadlo;jednotné;slúchadlo;jednotné
Táto;jednotné;Táto;jednotné
úvaha;jednotné;úvaha;jednotné
ma;jednotné;ma;jednotné
Ale;;Ale;
aj;;aj;
toto;jednotné;toto;jednotné
som;jednotné;som;jednotné
zavrhol;jednotné;zavrhol;jednotné
Potom;;Potom;
Irma;jednotné;Irma;jednotné
prerušila;jednotné;prerušila;jednotné
aj;;aj;
moje;množné;moje;množné
výpočty;množné;výpočty;množné
Večne;;Večne;
o;;o;
nej;jednotné;nej;jednotné
rozprávala;jednotné;rozprávala;jednotné
Irma;jednotné;Irma;jednotné
tak;;tak;
hovorievala;jednotné;hovorievala;jednotné
od;;od;
hnevu;jednotné;hnevu;jednotné
Uvedomujem;jednotné;Uvedomujem;jednotné
si;;si;
to;jednotné;to;jednotné
takáto;jednotné;takáto;jednotné
obhajoba;jednotné;obhajoba;jednotné
prezrádza;jednotné;prezrádza;jednotné
určitý;jednotné;určitý;jednotné
komplex;jednotné;komplex;jednotné
Príčiny;množné;Príčiny;množné
svojich;množné;svojich;množné
neúspechov;množné;neúspechov;množné
musí;jednotné;musí;jednotné
človek;jednotné;človek;jednotné
hľadať;;hľadať;
vo;;vo;
vlastnom;jednotné;vlastnom;jednotné
vnútri;;vnútri;jednotné
a;množné;a;
ja;množné;ja;jednotné
som;jednotné;som;jednotné
tak;;tak;
robil;jednotné;robil;jednotné
Nakoniec;;Nakoniec;
to;jednotné;to;jednotné
potrebné;množné;potrebné;jednotné
Ten;jednotné;Ten;jednotné
aby;jednotné;aby;
som;jednotné;som;jednotné
mu;jednotné;mu;jednotné
podal;jednotné;podal;jednotné
pomocnú;jednotné;pomocnú;jednotné
ruku;jednotné;ruku;jednotné
Jednoducho;;Jednoducho;
ma;jednotné;ma;jednotné
požiadal;jednotné;požiadal;jednotné
o;;o;
ruku;jednotné;ruku;jednotné
Irma;jednotné;Irma;jednotné
konala;jednotné;konala;jednotné
rýchlo;;rýchlo;
A;;A;
začal;jednotné;začal;jednotné
som;jednotné;som;jednotné
chodiť;;chodiť;
hore;;hore;
dole;;dole;
po;;po;
izbe;jednotné;izbe;jednotné
A;;A;
čo;jednotné;čo;jednotné
potom;;potom;
Variant;jednotné;Variant;jednotné
že;;že;
pôjdem;jednotné;pôjdem;jednotné
po;;po;
sa;;sa;
mi;jednotné;mi;jednotné
Vari;;Vari;
dnešní;množné;dnešní;množné
otcovia;množné;otcovia;množné
národa;jednotné;národa;jednotné
často;;často;
že;;že;
naša;jednotné;naša;jednotné
milovaná;jednotné;milovaná;jednotné
vlasť;jednotné;vlasť;jednotné
je;jednotné;je;jednotné
banánová;jednotné;banánová;jednotné
republika;jednotné;republika;jednotné
Aj;;Aj;
tu;;tu;
je;jednotné;je;jednotné
však;;však;
jeden;jednotné;jeden;jednotné
problém;jednotné;problém;jednotné
Areál;jednotné;Areál;jednotné
Zväzu;jednotné;Zväzu;jednotné
spisovateľov;množné;spisovateľov;množné
smrdí;jednotné;smrdí;jednotné
močom;množné;močom;jednotné
Ako;;Ako;
teda;;teda;
vysvetliť;;vysvetliť;
že;;že;
žobráci;množné;žobráci;množné
touto;jednotné;touto;jednotné
zónou;jednotné;zónou;jednotné
opovrhujú;množné;opovrhujú;množné
Počul;jednotné;Počul;jednotné
som;jednotné;som;jednotné
že;;že;
noviny;množné;noviny;množné
platia;množné;platia;množné
dobre;;dobre;
keď;;keď;
chcú;množné;chcú;množné
som;jednotné;som;jednotné
nič;množné;nič;jednotné
Na;;Na;
druhom;množné;druhom;jednotné
konci;jednotné;konci;jednotné
linky;množné;linky;jednotné
bola;jednotné;bola;jednotné
Naproti;;Naproti;
vile;jednotné;vile;jednotné
Položil;jednotné;Položil;jednotné
som;jednotné;som;jednotné
slúchadlo;jednotné;slúchadlo;jednotné
na;;na;
vidlicu;jednotné;vidlicu;jednotné
a;množné;a;
uprel;jednotné;uprel;jednotné
som;jednotné;som;jednotné
zrak;jednotné;zrak;jednotné
na;;na;
telefón;jednotné;telefón;jednotné
Telefón;jednotné;Telefón;jednotné
mlčal;jednotné;mlčal;jednotné
Cítil;jednotné;Cítil;jednotné
som;jednotné;som;jednotné
sa;;sa;
ako;;ako;
vidiečan;jednotné;vidiečan;jednotné
ktorý;jednotné;ktorý;jednotné
prvýkrát;;prvýkrát;
prišiel;jednotné;prišiel;jednotné
do;;do;
hlavného;jednotné;hlavného;jednotné
mesta;jednotné;mesta;jednotné
Bolo;jednotné;Bolo;jednotné
zamračené;množné;zamračené;jednotné
malo;;malo;jednotné
pršať;;pršať;
Na;;Na;
obidvoch;množné;obidvoch;množné
stranách;množné;stranách;množné
ulice;množné;ulice;jednotné
kde;;kde;
sa;;sa;
chodci;množné;chodci;množné
náhlili;množné;náhlili;množné
po;;po;
chodníkoch;množné;chodníkoch;množné
parkovali;množné;parkovali;množné
autá;množné;autá;množné
som;jednotné;som;jednotné
V;;V;
dobrej;jednotné;dobrej;jednotné
kondícii;jednotné;kondícii;jednotné
Vrátil;jednotné;Vrátil;jednotné
som;jednotné;som;jednotné
sa;;sa;
späť;;späť;
Bol;množné;Bol;jednotné
som;jednotné;som;jednotné
zmätený;jednotné;zmätený;jednotné
Bola;jednotné;Bola;jednotné
to;jednotné;to;jednotné
dávna;jednotné;dávna;jednotné
myšlienková;jednotné;myšlienková;jednotné
asociácia;jednotné;asociácia;jednotné
Žalúzie;množné;Žalúzie;množné
na;;na;
oknách;množné;oknách;množné
boli;množné;boli;množné
spustené;množné;spustené;množné
Aj;;Aj;
dvere;množné;dvere;množné
boli;množné;boli;množné
zatvorené;množné;zatvorené;množné
Vtom;;Vtom;
som;jednotné;som;jednotné
zazrel;jednotné;zazrel;jednotné
červené;množné;červené;jednotné
auto;jednotné;auto;jednotné
Prebehla;jednotné;Prebehla;jednotné
cez;;cez;
cestu;jednotné;cestu;jednotné
som;jednotné;som;jednotné
jej;množné;jej;jednotné
nič;množné;nič;jednotné
Jej;množné;Jej;jednotné
fyzická;jednotné;fyzická;jednotné
prítomnosť;jednotné;prítomnosť;jednotné
stačila;jednotné;stačila;jednotné
aby;jednotné;aby;
sa;;sa;
pohlo;jednotné;pohlo;jednotné
zviera;jednotné;zviera;jednotné
ktoré;množné;ktoré;jednotné
sa;;sa;
vo;;vo;
mne;jednotné;mne;jednotné
skrývalo;jednotné;skrývalo;jednotné
Znehybnel;jednotné;Znehybnel;jednotné
som;jednotné;som;jednotné
s;množné;s;
pohárom;množné;pohárom;jednotné
whisky;množné;whisky;jednotné
v;;v;
ruke;jednotné;ruke;jednotné
Zároveň;;Zároveň;
som;jednotné;som;jednotné
zatúžil;jednotné;zatúžil;jednotné
po;;po;
ďalšom;jednotné;ďalšom;jednotné
pohári;jednotné;pohári;jednotné
whisky;množné;whisky;jednotné
Aspoň;;Aspoň;
pre;;pre;
mňa;jednotné;mňa;jednotné
V;;V;
tomto;jednotné;tomto;jednotné
podniku;jednotné;podniku;jednotné
si;;si;
dovoliť;;dovoliť;
luxus;jednotné;luxus;jednotné
v;;v;
podobe;jednotné;podobe;jednotné
ďalšej;jednotné;ďalšej;jednotné
whisky;množné;whisky;jednotné
ani;;ani;
keby;jednotné;keby;
som;jednotné;som;jednotné
išiel;jednotné;išiel;jednotné
dušu;jednotné;dušu;jednotné
vypustiť;;vypustiť;
Oznámila;jednotné;Oznámila;jednotné
mi;jednotné;mi;jednotné
že;;že;
ma;jednotné;ma;jednotné
pozýva;jednotné;pozýva;jednotné
Predseda;jednotné;Predseda;jednotné
našej;jednotné;našej;jednotné
nadácie;množné;nadácie;jednotné
mal;;mal;jednotné
v;;v;
tom;jednotné;tom;jednotné
hoteli;jednotné;hoteli;jednotné
raz;jednotné;raz;
popoludní;;popoludní;
tlačovú;jednotné;tlačovú;jednotné
konferenciu;jednotné;konferenciu;jednotné
a;množné;a;
ja;množné;ja;jednotné
som;jednotné;som;jednotné
na;;na;
ňu;jednotné;ňu;jednotné
pozvala;jednotné;pozvala;jednotné
Irmu;jednotné;Irmu;jednotné
Miluje;jednotné;Miluje;jednotné
tlačové;množné;tlačové;množné
konferencie;množné;konferencie;množné
Volá;jednotné;Volá;jednotné
sa;;sa;
Ja;množné;Ja;jednotné
mám;jednotné;mám;jednotné
za;;za;
úlohu;jednotné;úlohu;jednotné
robiť;;robiť;
sprostredkovateľku;jednotné;sprostredkovateľku;jednotné
Čašník;jednotné;Čašník;jednotné
priniesol;jednotné;priniesol;jednotné
druhú;jednotné;druhú;jednotné
whisky;množné;whisky;jednotné
