;Slovo;Slovný druh-Majka;Slovo2;Slovný druh-SNK;Jazykový štýl
35617;izieb;Podstatné meno;izieb;Podstatné meno;umelecky_romany
35618;so;Predložka;so;Predložka;umelecky_romany
35619;štvorcifernými;Prídavné meno;štvorcifernými;Prídavné meno;umelecky_romany
35620;číslami;Podstatné meno;číslami;Podstatné meno;umelecky_romany
35621;Potom;Spojka;Potom;Príslovka;umelecky_romany
35622;sa;Zámeno;sa;Zvratné zámeno;umelecky_romany
35623;v;Predložka;v;Predložka;umelecky_romany
35624;jednej;Číslovka;jednej;Číslovka;umelecky_romany
35625;zákrute;Podstatné meno;zákrute;Podstatné meno;umelecky_romany
35626;objavil;Sloveso;objavil;Sloveso;umelecky_romany
35627;ďalší;Prídavné meno;ďalší;Prídavné meno;umelecky_romany
35628;stôl;Podstatné meno;stôl;Podstatné meno;umelecky_romany
35629;za;Predložka;za;Predložka;umelecky_romany
35630;ktorým;Zámeno;ktorým;Zámeno;umelecky_romany
35631;sedeli;Sloveso;sedeli;Sloveso;umelecky_romany
35632;ďalšie;Prídavné meno;ďalšie;Prídavné meno;umelecky_romany
35633;dve;Číslovka;dve;Číslovka;umelecky_romany
35634;ženy;Podstatné meno;ženy;Podstatné meno;umelecky_romany
35635;Volala;Sloveso;Volala;Sloveso;umelecky_romany
35636;sa;Zámeno;sa;Zvratné zámeno;umelecky_romany
35637;recepcie;Podstatné meno;recepcie;Podstatné meno;umelecky_romany
35638;som;Sloveso;som;Sloveso;umelecky_romany
35639;podal;Sloveso;podal;Sloveso;umelecky_romany
35640;dôveru;Podstatné meno;dôveru;Podstatné meno;umelecky_romany
35641;bola;Podstatné meno;bola;Sloveso;umelecky_romany
35642;to;Zámeno;to;Zámeno;umelecky_romany
35643;pokojná;Prídavné meno;pokojná;Prídavné meno;umelecky_romany
35644;vľúdna;Prídavné meno;vľúdna;Prídavné meno;umelecky_romany
35645;tvár;Podstatné meno;tvár;Podstatné meno;umelecky_romany
35646;Len;Spojka;Len;Spojka;umelecky_romany
35647;čo;Zámeno;čo;Spojka;umelecky_romany
35648;som;Sloveso;som;Sloveso;umelecky_romany
35649;ju;Zámeno;ju;Zámeno;umelecky_romany
35650;uvidel;Sloveso;uvidel;Sloveso;umelecky_romany
35651;mal;Skratka;mal;Sloveso;umelecky_romany
35652;som;Sloveso;som;Sloveso;umelecky_romany
35653;pocit;Podstatné meno;pocit;Podstatné meno;umelecky_romany
35654;že;Spojka;že;Spojka;umelecky_romany
35655;mi;Zámeno;mi;Zámeno;umelecky_romany
35656;pripomína;Sloveso;pripomína;Sloveso;umelecky_romany
35657;ktorúsi;Zámeno;ktorúsi;Zámeno;umelecky_romany
35658;z;Podstatné meno;z;Predložka;umelecky_romany
35659;hrdiniek;Podstatné meno;hrdiniek;Podstatné meno;umelecky_romany
35660;klasickej;Prídavné meno;klasickej;Prídavné meno;umelecky_romany
35661;ruskej;Prídavné meno;ruskej;Prídavné meno;umelecky_romany
35662;literatúry;Podstatné meno;literatúry;Podstatné meno;umelecky_romany
35663;Rozumel;Sloveso;Rozumel;Sloveso;umelecky_romany
35664;som;Sloveso;som;Sloveso;umelecky_romany
35665;čo;Zámeno;čo;Zámeno;umelecky_romany
35666;mi;Zámeno;mi;Zámeno;umelecky_romany
35667;povedala;Sloveso;povedala;Sloveso;umelecky_romany
35668;A;Spojka;A;Častica;umelecky_romany
35669;očervenel;Sloveso;očervenel;Sloveso;umelecky_romany
35670;som;Sloveso;som;Sloveso;umelecky_romany
35671;Ale;Spojka;Ale;Spojka;umelecky_romany
35672;to;Zámeno;to;Zámeno;umelecky_romany
35673;všetko;Zámeno;všetko;Zámeno;umelecky_romany
35674;bolo;Sloveso;bolo;Sloveso;umelecky_romany
35675;veľmi;Príslovka;veľmi;Príslovka;umelecky_romany
35676;zložité;Prídavné meno;zložité;Prídavné meno;umelecky_romany
35677;Všimol;Sloveso;Všimol;Sloveso;umelecky_romany
35678;som;Sloveso;som;Sloveso;umelecky_romany
35679;si;Zámeno;si;Zvratné zámeno;umelecky_romany
35680;že;Spojka;že;Spojka;umelecky_romany
35681;aj;Citoslovce;aj;Častica;umelecky_romany
35682;ona;Zámeno;ona;Zámeno;umelecky_romany
35683;sa;Zámeno;sa;Zvratné zámeno;umelecky_romany
35684;začervenala;Sloveso;začervenala;Sloveso;umelecky_romany
35685;Potom;Spojka;Potom;Príslovka;umelecky_romany
35686;vložila;Sloveso;vložila;Sloveso;umelecky_romany
35687;ten;Zámeno;ten;Zámeno;umelecky_romany
35688;lístok;Podstatné meno;lístok;Podstatné meno;umelecky_romany
35689;do;Citoslovce;do;Predložka;umelecky_romany
35690;zásuvky;Podstatné meno;zásuvky;Podstatné meno;umelecky_romany
35691;vytiahla;Sloveso;vytiahla;Sloveso;umelecky_romany
35692;z;Podstatné meno;z;Predložka;umelecky_romany
35693;nej;Zámeno;nej;Zámeno;umelecky_romany
35694;kľúč;Podstatné meno;kľúč;Podstatné meno;umelecky_romany
35695;s;Podstatné meno;s;Predložka;umelecky_romany
35696;ťažkým;Prídavné meno;ťažkým;Prídavné meno;umelecky_romany
35697;bronzovým;Prídavné meno;bronzovým;Prídavné meno;umelecky_romany
35698;štítkom;Podstatné meno;štítkom;Podstatné meno;umelecky_romany
35699;na;Citoslovce;na;Predložka;umelecky_romany
35700;ktorom;Zámeno;ktorom;Zámeno;umelecky_romany
35701;bolo;Sloveso;bolo;Sloveso;umelecky_romany
35702;číslo;Podstatné meno;číslo;Podstatné meno;umelecky_romany
35703;izby;Podstatné meno;izby;Podstatné meno;umelecky_romany
35704;a;Spojka;a;Spojka;umelecky_romany
35705;strčila;Sloveso;strčila;Sloveso;umelecky_romany
35706;mi;Zámeno;mi;Zámeno;umelecky_romany
35707;ho;Zámeno;ho;Zámeno;umelecky_romany
35708;do;Citoslovce;do;Predložka;umelecky_romany
35709;ruky;Podstatné meno;ruky;Podstatné meno;umelecky_romany
35710;Začala;Sloveso;Začala;Sloveso;umelecky_romany
35711;hovoriť;Sloveso;hovoriť;Sloveso;umelecky_romany
35712;pomaly;Príslovka;pomaly;Príslovka;umelecky_romany
35713;Raňajky;Podstatné meno;Raňajky;Podstatné meno;umelecky_romany
35714;sa;Zámeno;sa;Zvratné zámeno;umelecky_romany
35715;podávajú;Sloveso;podávajú;Sloveso;umelecky_romany
35716;na;Citoslovce;na;Predložka;umelecky_romany
35717;prízemí;Podstatné meno;prízemí;Podstatné meno;umelecky_romany
35718;do;Citoslovce;do;Predložka;umelecky_romany
35719;deviatej;Podstatné meno;deviatej;Číslovka;umelecky_romany
35720;Nakoniec;Príslovka;Nakoniec;Príslovka;umelecky_romany
35721;ma;Zámeno;ma;Zámeno;umelecky_romany
35722;chcela;Sloveso;chcela;Sloveso;umelecky_romany
35723;privítať;Sloveso;privítať;Sloveso;umelecky_romany
35724;Povedal;Sloveso;Povedal;Sloveso;umelecky_romany
35725;som;Sloveso;som;Sloveso;umelecky_romany
35726;jej;Zámeno;jej;Zámeno;umelecky_romany
35727;koniec;Podstatné meno;koniec;Podstatné meno;umelecky_romany
35728;chodby;Podstatné meno;chodby;Podstatné meno;umelecky_romany
35729;kde;Príslovka;kde;Zámeno;umelecky_romany
35730;bola;Podstatné meno;bola;Sloveso;umelecky_romany
35731;moja;Zámeno;moja;Zámeno;umelecky_romany
35732;izba;Podstatné meno;izba;Podstatné meno;umelecky_romany
35733;Otvoril;Sloveso;Otvoril;Sloveso;umelecky_romany
35734;som;Sloveso;som;Sloveso;umelecky_romany
35735;kufor;Podstatné meno;kufor;Podstatné meno;umelecky_romany
35736;Ale;Spojka;Ale;Spojka;umelecky_romany
35737;ona;Zámeno;ona;Zámeno;umelecky_romany
35738;mi;Zámeno;mi;Zámeno;umelecky_romany
35739;Pripomínala;Sloveso;Pripomínala;Sloveso;umelecky_romany
35740;mi;Zámeno;mi;Zámeno;umelecky_romany
35741;nejakú;Zámeno;nejakú;Zámeno;umelecky_romany
35742;literárnu;Prídavné meno;literárnu;Prídavné meno;umelecky_romany
35743;hrdinku;Podstatné meno;hrdinku;Podstatné meno;umelecky_romany
35744;Z;Skratka;Z;Predložka;umelecky_romany
35745;kúpeľne;Podstatné meno;kúpeľne;Podstatné meno;umelecky_romany
35746;som;Sloveso;som;Sloveso;umelecky_romany
35747;vyšiel;Sloveso;vyšiel;Sloveso;umelecky_romany
35748;o;Citoslovce;o;Predložka;umelecky_romany
35749;pol;Číslovka;pol;Číslovka;umelecky_romany
35750;hodiny;Podstatné meno;hodiny;Podstatné meno;umelecky_romany
35751;Jediný;Číslovka;Jediný;Číslovka;umelecky_romany
35752;kanál;Podstatné meno;kanál;Podstatné meno;umelecky_romany
35753;s;Podstatné meno;s;Predložka;umelecky_romany
35754;jasným;Prídavné meno;jasným;Prídavné meno;umelecky_romany
35755;obrazom;Podstatné meno;obrazom;Podstatné meno;umelecky_romany
35756;vysielal;Sloveso;vysielal;Sloveso;umelecky_romany
35757;pornografické;Prídavné meno;pornografické;Prídavné meno;umelecky_romany
35758;scény;Podstatné meno;scény;Podstatné meno;umelecky_romany
35759;Nechal;Sloveso;Nechal;Sloveso;umelecky_romany
35760;som;Sloveso;som;Sloveso;umelecky_romany
35761;u;Podstatné meno;u;Predložka;umelecky_romany
35762;nej;Zámeno;nej;Zámeno;umelecky_romany
35763;kľúč;Podstatné meno;kľúč;Podstatné meno;umelecky_romany
35764;Tentoraz;Príslovka;Tentoraz;Príslovka;umelecky_romany
35765;sa;Zámeno;sa;Zvratné zámeno;umelecky_romany
35766;ma;Zámeno;ma;Zámeno;umelecky_romany
35767;podobá;Sloveso;podobá;Sloveso;umelecky_romany
35768;na;Citoslovce;na;Predložka;umelecky_romany
35769;niekoho;Zámeno;niekoho;Zámeno;umelecky_romany
35770;koho;Zámeno;koho;Zámeno;umelecky_romany
35771;poznám;Sloveso;poznám;Sloveso;umelecky_romany
35772;Pochopila;Sloveso;Pochopila;Sloveso;umelecky_romany
35773;čo;Zámeno;čo;Zámeno;umelecky_romany
35774;som;Sloveso;som;Sloveso;umelecky_romany
35775;povedal;Sloveso;povedal;Sloveso;umelecky_romany
35776;Hral;Sloveso;Hral;Sloveso;umelecky_romany
35777;v;Predložka;v;Predložka;umelecky_romany
35778;tom;Zámeno;tom;Zámeno;umelecky_romany
35779;filme;Podstatné meno;filme;Podstatné meno;umelecky_romany
35780;hlavného;Podstatné meno;hlavného;Prídavné meno;umelecky_romany
35781;hrdinu;Podstatné meno;hrdinu;Podstatné meno;umelecky_romany
35782;Už;Príslovka;Už;Príslovka;umelecky_romany
35783;som;Sloveso;som;Sloveso;umelecky_romany
35784;ho;Zámeno;ho;Zámeno;umelecky_romany
35785;niekde;Zámeno;niekde;Zámeno;umelecky_romany
35786;počul;Sloveso;počul;Sloveso;umelecky_romany
35787;Takto;Príslovka;Takto;Zámeno;umelecky_romany
35788;sa;Zámeno;sa;Zvratné zámeno;umelecky_romany
35789;volala;Sloveso;volala;Sloveso;umelecky_romany
35790;mi;Zámeno;mi;Zámeno;umelecky_romany
35791;zaletela;Sloveso;zaletela;Sloveso;umelecky_romany
35792;k;Podstatné meno;k;Predložka;umelecky_romany
35793;plaču;Podstatné meno;plaču;Podstatné meno;umelecky_romany
35794;Zároveň;Príslovka;Zároveň;Príslovka;umelecky_romany
35795;so;Predložka;so;Predložka;umelecky_romany
35796;svetlom;Podstatné meno;svetlom;Podstatné meno;umelecky_romany
35797;som;Sloveso;som;Sloveso;umelecky_romany
35798;zapol;Sloveso;zapol;Sloveso;umelecky_romany
35799;televízor;Podstatné meno;televízor;Podstatné meno;umelecky_romany
35800;Okno;Podstatné meno;Okno;Podstatné meno;umelecky_romany
35801;na;Citoslovce;na;Predložka;umelecky_romany
35802;izbe;Podstatné meno;izbe;Podstatné meno;umelecky_romany
35803;bolo;Sloveso;bolo;Sloveso;umelecky_romany
35804;otvorené;Prídavné meno;otvorené;Príčastie - Sloveso;umelecky_romany
35805;a;Spojka;a;Spojka;umelecky_romany
35806;bol;Podstatné meno;bol;Sloveso;umelecky_romany
35807;tam;Príslovka;tam;Zámeno;umelecky_romany
35808;zápach;Podstatné meno;zápach;Podstatné meno;umelecky_romany
35809;jedno;Príslovka;jedno;Číslovka;umelecky_romany
35810;ani;Spojka;ani;Spojka;umelecky_romany
35811;druhé;Číslovka;druhé;Číslovka;umelecky_romany
35812;Onánia;Podstatné meno;Onánia;Podstatné meno;umelecky_romany
35813;bude;Sloveso;bude;Sloveso;umelecky_romany
35814;praktická;Prídavné meno;praktická;Prídavné meno;umelecky_romany
35815;Vybavím;Sloveso;Vybavím;Sloveso;umelecky_romany
35816;to;Zámeno;to;Zámeno;umelecky_romany
35817;rýchlo;Príslovka;rýchlo;Príslovka;umelecky_romany
35818;a;Spojka;a;Spojka;umelecky_romany
35819;hneď;Podstatné meno;hneď;Príslovka;umelecky_romany
35820;zaspím;Sloveso;zaspím;Sloveso;umelecky_romany
35821;dobrým;Prídavné meno;dobrým;Prídavné meno;umelecky_romany
35822;spánkom;Podstatné meno;spánkom;Podstatné meno;umelecky_romany
35823;Vtedy;Príslovka;Vtedy;Zámeno;umelecky_romany
35824;som;Sloveso;som;Sloveso;umelecky_romany
35825;zdvihol;Sloveso;zdvihol;Sloveso;umelecky_romany
35826;telefón;Podstatné meno;telefón;Podstatné meno;umelecky_romany
35827;a;Spojka;a;Spojka;umelecky_romany
35828;vytočil;Sloveso;vytočil;Sloveso;umelecky_romany
35829;číslo;Podstatné meno;číslo;Podstatné meno;umelecky_romany
35830;Na;Skratka;Na;Predložka;umelecky_romany
35831;druhom;Podstatné meno;druhom;Číslovka;umelecky_romany
35832;konci;Podstatné meno;konci;Podstatné meno;umelecky_romany
35833;linky;Podstatné meno;linky;Podstatné meno;umelecky_romany
35834;som;Sloveso;som;Sloveso;umelecky_romany
35835;začul;Sloveso;začul;Sloveso;umelecky_romany
35836;jej;Zámeno;jej;Zámeno;umelecky_romany
35837;hlas;Podstatné meno;hlas;Podstatné meno;umelecky_romany
35838;Bál;Podstatné meno;Bál;Sloveso;umelecky_romany
35839;som;Sloveso;som;Sloveso;umelecky_romany
35840;sa;Zámeno;sa;Zvratné zámeno;umelecky_romany
35841;že;Spojka;že;Spojka;umelecky_romany
35842;zloží;Sloveso;zloží;Sloveso;umelecky_romany
35843;slúchadlo;Podstatné meno;slúchadlo;Podstatné meno;umelecky_romany
35844;a;Spojka;a;Spojka;umelecky_romany
35845;tak;Príslovka;tak;Spojka;umelecky_romany
35846;som;Sloveso;som;Sloveso;umelecky_romany
35847;sa;Zámeno;sa;Zvratné zámeno;umelecky_romany
35848;usiloval;Sloveso;usiloval;Sloveso;umelecky_romany
35849;rýchlo;Príslovka;rýchlo;Príslovka;umelecky_romany
35850;niečo;Zámeno;niečo;Zámeno;umelecky_romany
35851;vymyslieť;Sloveso;vymyslieť;Sloveso;umelecky_romany
35852;Vymenoval;Sloveso;Vymenoval;Sloveso;umelecky_romany
35853;som;Sloveso;som;Sloveso;umelecky_romany
35854;štyri;Číslovka;štyri;Číslovka;umelecky_romany
35855;číslice;Podstatné meno;číslice;Podstatné meno;umelecky_romany
35856;ktoré;Zámeno;ktoré;Zámeno;umelecky_romany
35857;tvorili;Sloveso;tvorili;Sloveso;umelecky_romany
35858;číslo;Podstatné meno;číslo;Podstatné meno;umelecky_romany
35859;mojej;Zámeno;mojej;Zámeno;umelecky_romany
35860;izby;Podstatné meno;izby;Podstatné meno;umelecky_romany
35861;Povedal;Sloveso;Povedal;Sloveso;umelecky_romany
35862;som;Sloveso;som;Sloveso;umelecky_romany
35863;jej;Zámeno;jej;Zámeno;umelecky_romany
35864;že;Spojka;že;Spojka;umelecky_romany
35865;mám;Sloveso;mám;Sloveso;umelecky_romany
35866;telefón;Podstatné meno;telefón;Podstatné meno;umelecky_romany
35867;Zostal;Sloveso;Zostal;Sloveso;umelecky_romany
35868;som;Sloveso;som;Sloveso;umelecky_romany
35869;pri;Predložka;pri;Predložka;umelecky_romany
35870;telefóne;Podstatné meno;telefóne;Podstatné meno;umelecky_romany
35871;so;Predložka;so;Predložka;umelecky_romany
35872;sa;Zámeno;sa;Zvratné zámeno;umelecky_romany
35873;vo;Predložka;vo;Predložka;umelecky_romany
35874;dverách;Podstatné meno;dverách;Podstatné meno;umelecky_romany
35875;mala;Príslovka;mala;Sloveso;umelecky_romany
35876;na;Citoslovce;na;Predložka;umelecky_romany
35877;sebe;Zámeno;sebe;Zámeno;umelecky_romany
35878;čierno;Príslovka;čierno;Neurčiteľný slovný druh;umelecky_romany
35879;A;Spojka;A;Častica;umelecky_romany
35880;ustúpil;Sloveso;ustúpil;Sloveso;umelecky_romany
35881;som;Sloveso;som;Sloveso;umelecky_romany
35882;nabok;Príslovka;nabok;Príslovka;umelecky_romany
35883;aby;Spojka;aby;Spojka;umelecky_romany
35884;mohla;Sloveso;mohla;Sloveso;umelecky_romany
35885;prejsť;Sloveso;prejsť;Sloveso;umelecky_romany
35886;cez;Predložka;cez;Predložka;umelecky_romany
35887;tesnú;Prídavné meno;tesnú;Prídavné meno;umelecky_romany
35888;chodbičku;Podstatné meno;chodbičku;Podstatné meno;umelecky_romany
35889;Okamžite;Príslovka;Okamžite;Príslovka;umelecky_romany
35890;jej;Zámeno;jej;Zámeno;umelecky_romany
35891;padol;Sloveso;padol;Sloveso;umelecky_romany
35892;zrak;Podstatné meno;zrak;Podstatné meno;umelecky_romany
35893;na;Citoslovce;na;Predložka;umelecky_romany
35894;televízor;Podstatné meno;televízor;Podstatné meno;umelecky_romany
35895;Náhlivo;Príslovka;Náhlivo;Príslovka;umelecky_romany
35896;som;Sloveso;som;Sloveso;umelecky_romany
35897;vypol;Sloveso;vypol;Sloveso;umelecky_romany
35898;televízor;Podstatné meno;televízor;Podstatné meno;umelecky_romany
35899;a;Spojka;a;Spojka;umelecky_romany
35900;ona;Zámeno;ona;Zámeno;umelecky_romany
35901;roztiahla;Sloveso;roztiahla;Sloveso;umelecky_romany
35902;pery;Podstatné meno;pery;Podstatné meno;umelecky_romany
35903;do;Citoslovce;do;Predložka;umelecky_romany
35904;úsmevu;Podstatné meno;úsmevu;Podstatné meno;umelecky_romany
35905;Bolo;Sloveso;Bolo;Sloveso;umelecky_romany
35906;prirodzené;Prídavné meno;prirodzené;Prídavné meno;umelecky_romany
35907;že;Spojka;že;Spojka;umelecky_romany
35908;roztiahla;Sloveso;roztiahla;Sloveso;umelecky_romany
35909;pery;Podstatné meno;pery;Podstatné meno;umelecky_romany
35910;do;Citoslovce;do;Predložka;umelecky_romany
35911;úsmevu;Podstatné meno;úsmevu;Podstatné meno;umelecky_romany
35912;Rovnako;Príslovka;Rovnako;Príslovka;umelecky_romany
35913;prirodzené;Prídavné meno;prirodzené;Prídavné meno;umelecky_romany
35914;bolo;Sloveso;bolo;Sloveso;umelecky_romany
35915;že;Spojka;že;Spojka;umelecky_romany
35916;zablúdila;Sloveso;zablúdila;Sloveso;umelecky_romany
35917;očami;Podstatné meno;očami;Podstatné meno;umelecky_romany
35918;k;Podstatné meno;k;Predložka;umelecky_romany
35919;fľaši;Podstatné meno;fľaši;Podstatné meno;umelecky_romany
35920;s;Podstatné meno;s;Predložka;umelecky_romany
35921;vodkou;Podstatné meno;vodkou;Podstatné meno;umelecky_romany
35922;značky;Podstatné meno;značky;Podstatné meno;umelecky_romany
35923;Máte;Sloveso;Máte;Sloveso;umelecky_romany
35924;kvalitnú;Prídavné meno;kvalitnú;Prídavné meno;umelecky_romany
35925;vodku;Podstatné meno;vodku;Podstatné meno;umelecky_romany
35926;poznamenala;Sloveso;poznamenala;Sloveso;umelecky_romany
35927;čo;Zámeno;čo;Zámeno;umelecky_romany
35928;som;Sloveso;som;Sloveso;umelecky_romany
35929;vôbec;Príslovka;vôbec;Častica;umelecky_romany
35930;som;Sloveso;som;Sloveso;umelecky_romany
35931;aj;Citoslovce;aj;Spojka;umelecky_romany
35932;sebe;Zámeno;sebe;Zámeno;umelecky_romany
35933;Povedal;Sloveso;Povedal;Sloveso;umelecky_romany
35934;som;Sloveso;som;Sloveso;umelecky_romany
35935;jej;Zámeno;jej;Zámeno;umelecky_romany
35936;na;Citoslovce;na;Citový výraz;umelecky_romany
35937;to;Zámeno;to;Zámeno;umelecky_romany
35938;okno;Podstatné meno;okno;Podstatné meno;umelecky_romany
35939;vôbec;Príslovka;vôbec;Častica;umelecky_romany
35940;len;Spojka;len;Častica;umelecky_romany
35941;zámienkou;Podstatné meno;zámienkou;Podstatné meno;umelecky_romany
35942;a;Spojka;a;Spojka;umelecky_romany
35943;ona;Zámeno;ona;Zámeno;umelecky_romany
35944;to;Zámeno;to;Zámeno;umelecky_romany
35945;svojou;Zámeno;svojou;Zámeno;umelecky_romany
35946;ženskou;Podstatné meno;ženskou;Prídavné meno;umelecky_romany
35947;intuíciou;Podstatné meno;intuíciou;Podstatné meno;umelecky_romany
35948;vytušila;Sloveso;vytušila;Sloveso;umelecky_romany
35949;Bola;Podstatné meno;Bola;Sloveso;umelecky_romany
35950;to;Zámeno;to;Zámeno;umelecky_romany
35951;vyumelkovaná;Prídavné meno;vyumelkovaná;Príčastie - Sloveso;umelecky_romany
35952;podobnosť;Podstatné meno;podobnosť;Podstatné meno;umelecky_romany
35953;Teraz;Príslovka;Teraz;Príslovka;umelecky_romany
35954;som;Sloveso;som;Sloveso;umelecky_romany
35955;mal;Skratka;mal;Sloveso;umelecky_romany
35956;pred;Predložka;pred;Predložka;umelecky_romany
35957;sebou;Zámeno;sebou;Zámeno;umelecky_romany
35958;jednu;Číslovka;jednu;Číslovka;umelecky_romany
35959;z;Podstatné meno;z;Predložka;umelecky_romany
35960;nich;Zámeno;nich;Zámeno;umelecky_romany
35961;Bola;Podstatné meno;Bola;Sloveso;umelecky_romany
35962;Ruska;Podstatné meno;Ruska;Podstatné meno;umelecky_romany
35963;a;Spojka;a;Spojka;umelecky_romany
35964;ja;Zámeno;ja;Zámeno;umelecky_romany
35965;som;Sloveso;som;Sloveso;umelecky_romany
35966;po;Predložka;po;Predložka;umelecky_romany
35967;nej;Zámeno;nej;Zámeno;umelecky_romany
35968;túžil;Sloveso;túžil;Sloveso;umelecky_romany
35969;Povedal;Sloveso;Povedal;Sloveso;umelecky_romany
35970;som;Sloveso;som;Sloveso;umelecky_romany
35971;jej;Zámeno;jej;Zámeno;umelecky_romany
35972;že;Spojka;že;Spojka;umelecky_romany
35973;potrebujem;Sloveso;potrebujem;Sloveso;umelecky_romany
35974;na;Citoslovce;na;Predložka;umelecky_romany
35975;noc;Podstatné meno;noc;Podstatné meno;umelecky_romany
35976;nejaké;Zámeno;nejaké;Zámeno;umelecky_romany
35977;dievča;Podstatné meno;dievča;Podstatné meno;umelecky_romany
35978;Ak;Príslovka;Ak;Spojka;umelecky_romany
35979;si;Zámeno;si;Zvratné zámeno;umelecky_romany
35980;želáte;Sloveso;želáte;Sloveso;umelecky_romany
35981;dievča;Podstatné meno;dievča;Podstatné meno;umelecky_romany
35982;povedala;Sloveso;povedala;Sloveso;umelecky_romany
35983;zariadime;Sloveso;zariadime;Sloveso;umelecky_romany
35984;to;Zámeno;to;Zámeno;umelecky_romany
35985;Hovorila;Sloveso;Hovorila;Sloveso;umelecky_romany
35986;potichu;Príslovka;potichu;Príslovka;umelecky_romany
35987;Povedal;Sloveso;Povedal;Sloveso;umelecky_romany
35988;som;Sloveso;som;Sloveso;umelecky_romany
35989;to;Zámeno;to;Zámeno;umelecky_romany
35990;sa;Zámeno;sa;Zvratné zámeno;umelecky_romany
35991;vážne;Príslovka;vážne;Príslovka;umelecky_romany
35992;Keď;Spojka;Keď;Spojka;umelecky_romany
35993;som;Sloveso;som;Sloveso;umelecky_romany
35994;jej;Zámeno;jej;Zámeno;umelecky_romany
35995;zopakoval;Sloveso;zopakoval;Sloveso;umelecky_romany
35996;svoje;Zámeno;svoje;Zámeno;umelecky_romany
35997;tvrdenie;Podstatné meno;tvrdenie;Podstatné meno;umelecky_romany
35998;poďakovala;Sloveso;poďakovala;Sloveso;umelecky_romany
35999;sa;Zámeno;sa;Zvratné zámeno;umelecky_romany
36000;mi;Zámeno;mi;Zámeno;umelecky_romany
36001;Dodala;Sloveso;Dodala;Sloveso;umelecky_romany
36002;že;Spojka;že;Spojka;umelecky_romany
36003;aj;Citoslovce;aj;Spojka;umelecky_romany
36004;ja;Zámeno;ja;Zámeno;umelecky_romany
36005;sa;Zámeno;sa;Zvratné zámeno;umelecky_romany
36006;jej;Zámeno;jej;Zámeno;umelecky_romany
36007;páčim;Sloveso;páčim;Sloveso;umelecky_romany
36008;Prišlo;Sloveso;Prišlo;Sloveso;umelecky_romany
36009;ale;Spojka;ale;Spojka;umelecky_romany
36010;ktoré;Zámeno;ktoré;Zámeno;umelecky_romany
36011;som;Sloveso;som;Sloveso;umelecky_romany
36012;počul;Sloveso;počul;Sloveso;umelecky_romany
36013;iba;Príslovka;iba;Častica;umelecky_romany
36014;nejasne;Príslovka;nejasne;Príslovka;umelecky_romany
36015;som;Sloveso;som;Sloveso;umelecky_romany
36016;ich;Zámeno;ich;Zámeno;umelecky_romany
36017;vytiahol;Sloveso;vytiahol;Sloveso;umelecky_romany
36018;Dal;Sloveso;Dal;Sloveso;umelecky_romany
36019;som;Sloveso;som;Sloveso;umelecky_romany
36020;jej;Zámeno;jej;Zámeno;umelecky_romany
36021;aj;Citoslovce;aj;Častica;umelecky_romany
36022;nejaké;Zámeno;nejaké;Zámeno;umelecky_romany
36023;ruble;Podstatné meno;ruble;Podstatné meno;umelecky_romany
36024;a;Spojka;a;Spojka;umelecky_romany
36025;povedal;Sloveso;povedal;Sloveso;umelecky_romany
36026;som;Sloveso;som;Sloveso;umelecky_romany
36027;aby;Spojka;aby;Spojka;umelecky_romany
36028;za;Predložka;za;Predložka;umelecky_romany
36029;ne;Zámeno;ne;Zámeno;umelecky_romany
36030;nakúpila;Sloveso;nakúpila;Sloveso;umelecky_romany
36031;pivo;Podstatné meno;pivo;Podstatné meno;umelecky_romany
36032;a;Spojka;a;Spojka;umelecky_romany
36033;ešte;Príslovka;ešte;Častica;umelecky_romany
36034;niečo;Zámeno;niečo;Zámeno;umelecky_romany
36035;iné;Prídavné meno;iné;Zámeno;umelecky_romany
36036;Stisla;Sloveso;Stisla;Sloveso;umelecky_romany
36037;peniaze;Podstatné meno;peniaze;Podstatné meno;umelecky_romany
36038;v;Predložka;v;Predložka;umelecky_romany
36039;ruke;Podstatné meno;ruke;Podstatné meno;umelecky_romany
36040;a;Spojka;a;Spojka;umelecky_romany
36041;odišla;Sloveso;odišla;Sloveso;umelecky_romany
36042;Vrátila;Sloveso;Vrátila;Sloveso;umelecky_romany
36043;sa;Zámeno;sa;Zvratné zámeno;umelecky_romany
36044;o;Citoslovce;o;Predložka;umelecky_romany
36045;pol;Číslovka;pol;Číslovka;umelecky_romany
36046;hodiny;Podstatné meno;hodiny;Podstatné meno;umelecky_romany
36047;Ale;Spojka;Ale;Spojka;umelecky_romany
36048;ona;Zámeno;ona;Zámeno;umelecky_romany
36049;sa;Zámeno;sa;Zvratné zámeno;umelecky_romany
36050;vrátila;Sloveso;vrátila;Sloveso;umelecky_romany
36051;Stále;Príslovka;Stále;Príslovka;umelecky_romany
36052;mala;Príslovka;mala;Sloveso;umelecky_romany
36053;na;Citoslovce;na;Predložka;umelecky_romany
36054;sebe;Zámeno;sebe;Zámeno;umelecky_romany
36055;služobnú;Prídavné meno;služobnú;Prídavné meno;umelecky_romany
36056;uniformu;Podstatné meno;uniformu;Podstatné meno;umelecky_romany
36057;čiernu;Prídavné meno;čiernu;Prídavné meno;umelecky_romany
36058;sukňu;Podstatné meno;sukňu;Podstatné meno;umelecky_romany
36059;a;Spojka;a;Spojka;umelecky_romany
