;Slovo;Slovný druh;Jazykový štýl
38805;verejná;Prídavné meno;administrativny
38806;správa;Podstatné meno;administrativny
38807;Zároveň;Príslovka;administrativny
38808;bude;Sloveso;administrativny
38809;vláda;Podstatné meno;administrativny
38810;zdôrazňovať;Sloveso;administrativny
38811;a;Spojka;administrativny
38812;vytvárať;Sloveso;administrativny
38813;podmienky;Podstatné meno;administrativny
38814;na;Predložka;administrativny
38815;zvyšovanie;Podstatné meno;administrativny
38816;vedomia;Podstatné meno;administrativny
38817;zodpovednosti;Podstatné meno;administrativny
38818;občanov;Podstatné meno;administrativny
38819;za;Predložka;administrativny
38820;vlastnú;Prídavné meno;administrativny
38821;a;Spojka;administrativny
38822;všeobecnú;Prídavné meno;administrativny
38823;bezpečnosť;Podstatné meno;administrativny
38824;.;Interpunkcia;administrativny
38825;Vnútorná;Prídavné meno;administrativny
38826;bezpečnosť;Podstatné meno;administrativny
38827;Vytvorí;Sloveso;administrativny
38828;potrebné;Prídavné meno;administrativny
38829;podmienky;Podstatné meno;administrativny
38830;pre;Predložka;administrativny
38831;realizáciu;Podstatné meno;administrativny
38832;tejto;Zámeno;administrativny
38833;koncepcie;Podstatné meno;administrativny
38834;.;Interpunkcia;administrativny
38835;Vytvorí;Sloveso;administrativny
38836;mechanizmy;Podstatné meno;administrativny
38837;na;Predložka;administrativny
38838;získavanie;Podstatné meno;administrativny
38839;a;Spojka;administrativny
38840;vyhodnocovanie;Podstatné meno;administrativny
38841;informácií;Podstatné meno;administrativny
38842;a;Spojka;administrativny
38843;odhaľovanie;Podstatné meno;administrativny
38844;týchto;Zámeno;administrativny
38845;prípadov;Podstatné meno;administrativny
38846;.;Interpunkcia;administrativny
38847;Pôjde;Sloveso;administrativny
38848;najmä;Častica;administrativny
38849;o;Predložka;administrativny
38850;precíznejšiu;Prídavné meno;administrativny
38851;personálnu;Prídavné meno;administrativny
38852;prácu;Podstatné meno;administrativny
38853;,;Interpunkcia;administrativny
38854;efektívnejšie;Prídavné meno;administrativny
38855;využitie;Podstatné meno;administrativny
38856;ich;Zámeno;administrativny
38857;vlastných;Prídavné meno;administrativny
38858;kontrolných;Prídavné meno;administrativny
38859;a;Spojka;administrativny
38860;inšpekčných;Prídavné meno;administrativny
38861;mechanizmov;Podstatné meno;administrativny
38862;,;Interpunkcia;administrativny
38863;ale;Spojka;administrativny
38864;tiež;Častica;administrativny
38865;o;Predložka;administrativny
38866;uplatňovanie;Podstatné meno;administrativny
38867;nových;Prídavné meno;administrativny
38868;špecifických;Prídavné meno;administrativny
38869;protikorupčných;Prídavné meno;administrativny
38870;postupov;Podstatné meno;administrativny
38871;.;Interpunkcia;administrativny
38872;Vláda;Podstatné meno;administrativny
38873;pripraví;Sloveso;administrativny
38874;aktualizáciu;Podstatné meno;administrativny
38875;národnej;Prídavné meno;administrativny
38876;stratégie;Podstatné meno;administrativny
38877;prevencie;Podstatné meno;administrativny
38878;kriminality;Podstatné meno;administrativny
38879;a;Spojka;administrativny
38880;vytvorí;Sloveso;administrativny
38881;legislatívne;Prídavné meno;administrativny
38882;podmienky;Podstatné meno;administrativny
38883;na;Predložka;administrativny
38884;jej;Zámeno;administrativny
38885;realizáciu;Podstatné meno;administrativny
38886;.;Interpunkcia;administrativny
38887;Prijme;Sloveso;administrativny
38888;systém;Podstatné meno;administrativny
38889;finančnej;Prídavné meno;administrativny
38890;podpory;Podstatné meno;administrativny
38891;preventívnych;Prídavné meno;administrativny
38892;projektov;Podstatné meno;administrativny
38893;.;Interpunkcia;administrativny
38894;Na;Predložka;administrativny
38895;zlepšenie;Podstatné meno;administrativny
38896;komunikácie;Podstatné meno;administrativny
38897;s;Predložka;administrativny
38898;verejnosťou;Podstatné meno;administrativny
38899;sa;Zvratné zámeno;administrativny
38900;zavedú;Sloveso;administrativny
38901;pravidelné;Prídavné meno;administrativny
38902;stretnutia;Podstatné meno;administrativny
38903;funkcionárov;Podstatné meno;administrativny
38904;polície;Podstatné meno;administrativny
38905;s;Predložka;administrativny
38906;občanmi;Podstatné meno;administrativny
38907;.;Interpunkcia;administrativny
38908;V;Predložka;administrativny
38909;Policajnom;Prídavné meno;administrativny
38910;zbore;Podstatné meno;administrativny
38911;sa;Zvratné zámeno;administrativny
38912;zmení;Sloveso;administrativny
38913;systém;Podstatné meno;administrativny
38914;hodnotenia;Podstatné meno;administrativny
38915;práce;Podstatné meno;administrativny
38916;,;Interpunkcia;administrativny
38917;ktorý;Zámeno;administrativny
38918;bude;Sloveso;administrativny
38919;akcentovať;Sloveso;administrativny
38920;mieru;Podstatné meno;administrativny
38921;spokojnosti;Podstatné meno;administrativny
38922;občanov;Podstatné meno;administrativny
38923;s;Predložka;administrativny
38924;činnosťou;Podstatné meno;administrativny
38925;polície;Podstatné meno;administrativny
38926;.;Interpunkcia;administrativny
38927;Osobitnú;Prídavné meno;administrativny
38928;pozornosť;Podstatné meno;administrativny
38929;bude;Sloveso;administrativny
38930;vláda;Podstatné meno;administrativny
38931;venovať;Sloveso;administrativny
38932;vytváraniu;Podstatné meno;administrativny
38933;podmienok;Podstatné meno;administrativny
38934;pre;Predložka;administrativny
38935;činnosť;Podstatné meno;administrativny
38936;Hasičského;Prídavné meno;administrativny
38937;a;Spojka;administrativny
38938;záchranného;Prídavné meno;administrativny
38939;zboru;Podstatné meno;administrativny
38940;ako;Spojka;administrativny
38941;základnej;Prídavné meno;administrativny
38942;zložky;Podstatné meno;administrativny
38943;integrovaného;Príčastie - Sloveso;administrativny
38944;záchranného;Prídavné meno;administrativny
38945;systému;Podstatné meno;administrativny
38946;.;Interpunkcia;administrativny
38947;Verejná;Prídavné meno;administrativny
38948;správa;Podstatné meno;administrativny
38949;Vláda;Podstatné meno;administrativny
38950;zabezpečí;Sloveso;administrativny
38951;uvedenie;Podstatné meno;administrativny
38952;nového;Prídavné meno;administrativny
38953;registra;Podstatné meno;administrativny
38954;obyvateľov;Podstatné meno;administrativny
38955;do;Predložka;administrativny
38956;prevádzky;Podstatné meno;administrativny
38957;.;Interpunkcia;administrativny
38958;C;Značky;administrativny
38959;.;Interpunkcia;administrativny
38960;Obrana;Podstatné meno;administrativny
38961;štátu;Podstatné meno;administrativny
38962;Slovenská;Prídavné meno;administrativny
38963;republika;Podstatné meno;administrativny
38964;sa;Zvratné zámeno;administrativny
38965;nachádza;Sloveso;administrativny
38966;v;Predložka;administrativny
38967;tomto;Zámeno;administrativny
38968;globálnom;Prídavné meno;administrativny
38969;bezpečnostnom;Prídavné meno;administrativny
38970;prostredí;Podstatné meno;administrativny
38971;.;Interpunkcia;administrativny
38972;Kolektívna;Prídavné meno;administrativny
38973;obrana;Podstatné meno;administrativny
38974;Vláda;Podstatné meno;administrativny
38975;bude;Sloveso;administrativny
38976;naďalej;Príslovka;administrativny
38977;podporovať;Sloveso;administrativny
38978;účasť;Podstatné meno;administrativny
38979;Ozbrojených;Príčastie - Sloveso;administrativny
38980;síl;Podstatné meno;administrativny
38981;SR;Značky;administrativny
38982;v;Predložka;administrativny
38983;mierových;Prídavné meno;administrativny
38984;misiách;Podstatné meno;administrativny
38985;a;Spojka;administrativny
38986;operáciách;Podstatné meno;administrativny
38987;na;Predložka;administrativny
38988;podporu;Podstatné meno;administrativny
38989;mieru;Podstatné meno;administrativny
38990;a;Spojka;administrativny
38991;na;Predložka;administrativny
38992;boji;Podstatné meno;administrativny
38993;proti;Predložka;administrativny
38994;terorizmu;Podstatné meno;administrativny
38995;,;Interpunkcia;administrativny
38996;s;Predložka;administrativny
38997;dôrazom;Podstatné meno;administrativny
38998;na;Predložka;administrativny
38999;operácie;Podstatné meno;administrativny
39000;pod;Predložka;administrativny
39001;vedením;Podstatné meno;administrativny
39002;NATO;Značky;administrativny
39003;.;Interpunkcia;administrativny
39004;Vláda;Podstatné meno;administrativny
39005;však;Častica;administrativny
39006;v;Predložka;administrativny
39007;tejto;Zámeno;administrativny
39008;súvislosti;Podstatné meno;administrativny
39009;zastáva;Sloveso;administrativny
39010;názor;Podstatné meno;administrativny
39011;,;Interpunkcia;administrativny
39012;že;Spojka;administrativny
39013;NATO;Značky;administrativny
39014;i;Častica;administrativny
39015;naďalej;Príslovka;administrativny
39016;zostane;Sloveso;administrativny
39017;hlavnou;Prídavné meno;administrativny
39018;inštitúciou;Podstatné meno;administrativny
39019;,;Interpunkcia;administrativny
39020;prostredníctvom;Predložka;administrativny
39021;ktorej;Zámeno;administrativny
39022;budú;Sloveso;administrativny
39023;európski;Prídavné meno;administrativny
39024;a;Spojka;administrativny
39025;severoamerickí;Prídavné meno;administrativny
39026;spojenci;Podstatné meno;administrativny
39027;i;Častica;administrativny
39028;naďalej;Príslovka;administrativny
39029;riešiť;Sloveso;administrativny
39030;bezpečnostné;Prídavné meno;administrativny
39031;otázky;Podstatné meno;administrativny
39032;transatlantického;Prídavné meno;administrativny
39033;rozmeru;Podstatné meno;administrativny
39034;.;Interpunkcia;administrativny
39035;Reforma;Podstatné meno;administrativny
39036;ozbrojených;Príčastie - Sloveso;administrativny
39037;síl;Podstatné meno;administrativny
39038;Vláda;Podstatné meno;administrativny
39039;bude;Sloveso;administrativny
39040;presadzovať;Sloveso;administrativny
39041;takú;Zámeno;administrativny
39042;reformu;Podstatné meno;administrativny
39043;Ozbrojených;Príčastie - Sloveso;administrativny
39044;síl;Podstatné meno;administrativny
39045;Slovenskej;Prídavné meno;administrativny
39046;republiky;Podstatné meno;administrativny
39047;,;Interpunkcia;administrativny
39048;ktorá;Zámeno;administrativny
39049;bude;Sloveso;administrativny
39050;najefektívnejšie;Príslovka;administrativny
39051;zabezpečovať;Sloveso;administrativny
39052;ochranu;Podstatné meno;administrativny
39053;pred;Predložka;administrativny
39054;možným;Prídavné meno;administrativny
39055;ohrozením;Podstatné meno;administrativny
39056;nášho;Zámeno;administrativny
39057;štátu;Podstatné meno;administrativny
39058;a;Spojka;administrativny
39059;jeho;Zámeno;administrativny
39060;občanov;Podstatné meno;administrativny
39061;.;Interpunkcia;administrativny
39062;Vláda;Podstatné meno;administrativny
39063;bude;Sloveso;administrativny
39064;preto;Zámeno;administrativny
39065;v;Predložka;administrativny
39066;tomto;Zámeno;administrativny
39067;volebnom;Prídavné meno;administrativny
39068;období;Podstatné meno;administrativny
39069;osobitne;Príslovka;administrativny
39070;dbať;Sloveso;administrativny
39071;na;Predložka;administrativny
39072;schopnosť;Podstatné meno;administrativny
39073;komunikácie;Podstatné meno;administrativny
39074;,;Interpunkcia;administrativny
39075;výcvik;Podstatné meno;administrativny
39076;,;Interpunkcia;administrativny
39077;vyzbrojenie;Podstatné meno;administrativny
39078;,;Interpunkcia;administrativny
39079;zabezpečenie;Podstatné meno;administrativny
39080;strategickej;Prídavné meno;administrativny
39081;prepravy;Podstatné meno;administrativny
39082;a;Spojka;administrativny
39083;udržateľnosť;Podstatné meno;administrativny
39084;špeciálnych;Prídavné meno;administrativny
39085;jednotiek;Podstatné meno;administrativny
39086;rýchlej;Prídavné meno;administrativny
39087;reakcie;Podstatné meno;administrativny
39088;.;Interpunkcia;administrativny
39089;Vláda;Podstatné meno;administrativny
39090;zabezpečí;Sloveso;administrativny
39091;prepojenie;Podstatné meno;administrativny
39092;národného;Prídavné meno;administrativny
39093;obranného;Prídavné meno;administrativny
39094;plánovania;Podstatné meno;administrativny
39095;s;Predložka;administrativny
39096;obranným;Prídavné meno;administrativny
39097;plánovaním;Podstatné meno;administrativny
39098;NATO;Značky;administrativny
39099;.;Interpunkcia;administrativny
39100;Do;Predložka;administrativny
39101;roku;Podstatné meno;administrativny
39102;2006;Číslica;administrativny
39103;vláda;Podstatné meno;administrativny
39104;dokončí;Sloveso;administrativny
39105;plnú;Prídavné meno;administrativny
39106;profesionalizáciu;Podstatné meno;administrativny
39107;Ozbrojených;Príčastie - Sloveso;administrativny
39108;síl;Podstatné meno;administrativny
39109;SR;Značky;administrativny
39110;.;Interpunkcia;administrativny
39111;Jeho;Zámeno;administrativny
39112;základnými;Prídavné meno;administrativny
39113;zložkami;Podstatné meno;administrativny
39114;budú;Sloveso;administrativny
39115;školy;Podstatné meno;administrativny
39116;odborného;Prídavné meno;administrativny
39117;výcviku;Podstatné meno;administrativny
39118;,;Interpunkcia;administrativny
39119;poddôstojnícka;Prídavné meno;administrativny
39120;akadémia;Podstatné meno;administrativny
39121;a;Spojka;administrativny
39122;akadémia;Podstatné meno;administrativny
39123;obrany;Podstatné meno;administrativny
39124;.;Interpunkcia;administrativny
39125;Vláda;Podstatné meno;administrativny
39126;sa;Zvratné zámeno;administrativny
39127;bude;Sloveso;administrativny
39128;usilovať;Sloveso;administrativny
39129;o;Predložka;administrativny
39130;postupné;Prídavné meno;administrativny
39131;zapájanie;Podstatné meno;administrativny
39132;kapacít;Podstatné meno;administrativny
39133;nášho;Zámeno;administrativny
39134;obranného;Prídavné meno;administrativny
39135;priemyslu;Podstatné meno;administrativny
39136;do;Predložka;administrativny
39137;štruktúr;Podstatné meno;administrativny
39138;európskeho;Prídavné meno;administrativny
39139;obranného;Prídavné meno;administrativny
39140;priemyslu;Podstatné meno;administrativny
39141;.;Interpunkcia;administrativny
39142;V;Predložka;administrativny
39143;procese;Podstatné meno;administrativny
39144;obstarávania;Podstatné meno;administrativny
39145;bude;Sloveso;administrativny
39146;vláda;Podstatné meno;administrativny
39147;dbať;Sloveso;administrativny
39148;na;Predložka;administrativny
39149;transparentný;Prídavné meno;administrativny
39150;systém;Podstatné meno;administrativny
39151;nakladania;Podstatné meno;administrativny
39152;s;Predložka;administrativny
39153;majetkom;Podstatné meno;administrativny
39154;štátu;Podstatné meno;administrativny
39155;.;Interpunkcia;administrativny
39156;Vláda;Podstatné meno;administrativny
39157;bude;Sloveso;administrativny
39158;presadzovať;Sloveso;administrativny
39159;zásady;Podstatné meno;administrativny
39160;efektívneho;Prídavné meno;administrativny
39161;a;Spojka;administrativny
39162;civilného;Prídavné meno;administrativny
39163;riadenia;Podstatné meno;administrativny
39164;ozbrojených;Príčastie - Sloveso;administrativny
39165;síl;Podstatné meno;administrativny
39166;.;Interpunkcia;administrativny
39167;Proces;Podstatné meno;administrativny
39168;optimalizácie;Podstatné meno;administrativny
39169;a;Spojka;administrativny
39170;scivilňovania;Podstatné meno;administrativny
39171;štruktúr;Podstatné meno;administrativny
39172;rezortu;Podstatné meno;administrativny
39173;ministerstva;Podstatné meno;administrativny
39174;bude;Sloveso;administrativny
39175;pokračovať;Sloveso;administrativny
39176;.;Interpunkcia;administrativny
39177;D;Značky;administrativny
39178;.;Interpunkcia;administrativny
39179;Zahraničná;Prídavné meno;administrativny
39180;politika;Podstatné meno;administrativny
39181;Vláda;Podstatné meno;administrativny
39182;bude;Sloveso;administrativny
39183;venovať;Sloveso;administrativny
39184;pozornosť;Podstatné meno;administrativny
39185;aj;Častica;administrativny
39186;ďalším;Prídavné meno;administrativny
39187;súčastiam;Podstatné meno;administrativny
39188;slovenskej;Prídavné meno;administrativny
39189;zahraničnej;Prídavné meno;administrativny
39190;politiky;Podstatné meno;administrativny
39191;,;Interpunkcia;administrativny
39192;medzi;Predložka;administrativny
39193;ktoré;Zámeno;administrativny
39194;patria;Sloveso;administrativny
39195;viaceré;Číslovka;administrativny
39196;oblasti;Podstatné meno;administrativny
39197;dvojstrannej;Prídavné meno;administrativny
39198;a;Spojka;administrativny
39199;mnohostrannej;Prídavné meno;administrativny
39200;diplomacie;Podstatné meno;administrativny
39201;,;Interpunkcia;administrativny
39202;otázky;Podstatné meno;administrativny
39203;ľudskej;Prídavné meno;administrativny
39204;dimenzie;Podstatné meno;administrativny
39205;,;Interpunkcia;administrativny
39206;ekonomický;Prídavné meno;administrativny
39207;rozmer;Podstatné meno;administrativny
39208;diplomacie;Podstatné meno;administrativny
39209;,;Interpunkcia;administrativny
39210;optimalizácia;Podstatné meno;administrativny
39211;zahraničnej;Prídavné meno;administrativny
39212;služby;Podstatné meno;administrativny
39213;.;Interpunkcia;administrativny
39214;Európska;Prídavné meno;administrativny
39215;únia;Podstatné meno;administrativny
39216;Strategickým;Prídavné meno;administrativny
39217;cieľom;Podstatné meno;administrativny
39218;SR;Značky;administrativny
39219;je;Sloveso;administrativny
39220;členstvo;Podstatné meno;administrativny
39221;v;Predložka;administrativny
39222;EÚ;Značky;administrativny
39223;.;Interpunkcia;administrativny
39224;Koordináciu;Podstatné meno;administrativny
39225;európskej;Prídavné meno;administrativny
39226;politiky;Podstatné meno;administrativny
39227;štátu;Podstatné meno;administrativny
39228;ako;Spojka;administrativny
39229;súčasti;Podstatné meno;administrativny
39230;zahraničnej;Prídavné meno;administrativny
39231;politiky;Podstatné meno;administrativny
39232;bude;Sloveso;administrativny
39233;zabezpečovať;Sloveso;administrativny
39234;MZV;Značky;administrativny
39235;SR;Značky;administrativny
39236;v;Predložka;administrativny
39237;úzkej;Prídavné meno;administrativny
39238;spolupráci;Podstatné meno;administrativny
39239;s;Predložka;administrativny
39240;ostatnými;Prídavné meno;administrativny
39241;ústrednými;Prídavné meno;administrativny
39242;orgánmi;Podstatné meno;administrativny
39243;štátnej;Prídavné meno;administrativny
39244;správy;Podstatné meno;administrativny
39245;.;Interpunkcia;administrativny
39246;Vláda;Podstatné meno;administrativny
39247;vytvorí;Sloveso;administrativny
39248;podmienky;Podstatné meno;administrativny
39249;pre;Predložka;administrativny
39250;uskutočnenie;Podstatné meno;administrativny
39251;úspešného;Prídavné meno;administrativny
39252;referenda;Podstatné meno;administrativny
39253;o;Predložka;administrativny
39254;vstupe;Podstatné meno;administrativny
39255;do;Predložka;administrativny
39256;EÚ;Značky;administrativny
39257;,;Interpunkcia;administrativny
39258;ktoré;Zámeno;administrativny
39259;bude;Sloveso;administrativny
39260;dokumentovať;Sloveso;administrativny
39261;udržanie;Podstatné meno;administrativny
39262;širokej;Prídavné meno;administrativny
39263;podpory;Podstatné meno;administrativny
39264;verejnosti;Podstatné meno;administrativny
39265;tomuto;Zámeno;administrativny
39266;historickému;Prídavné meno;administrativny
39267;kroku;Podstatné meno;administrativny
39268;.;Interpunkcia;administrativny
39269;Preto;Zámeno;administrativny
39270;samotné;Prídavné meno;administrativny
39271;pozvanie;Podstatné meno;administrativny
39272;nebude;Sloveso;administrativny
39273;dôvodom;Podstatné meno;administrativny
39274;pre;Predložka;administrativny
39275;sebauspokojenie;Podstatné meno;administrativny
39276;.;Interpunkcia;administrativny
39277;Vláda;Podstatné meno;administrativny
39278;bude;Sloveso;administrativny
39279;i;Častica;administrativny
39280;po;Predložka;administrativny
39281;vstupe;Podstatné meno;administrativny
39282;Slovenskej;Prídavné meno;administrativny
39283;republiky;Podstatné meno;administrativny
39284;do;Predložka;administrativny
39285;NATO;Značky;administrativny
39286;podporovať;Sloveso;administrativny
39287;politiku;Podstatné meno;administrativny
39288;otvorených;Príčastie - Sloveso;administrativny
39289;dverí;Podstatné meno;administrativny
39290;Aliancie;Podstatné meno;administrativny
39291;a;Spojka;administrativny
39292;posilnenia;Podstatné meno;administrativny
39293;väzieb;Podstatné meno;administrativny
39294;s;Predložka;administrativny
39295;partnerskými;Prídavné meno;administrativny
39296;krajinami;Podstatné meno;administrativny
39297;.;Interpunkcia;administrativny
39298;Vzťahy;Podstatné meno;administrativny
39299;so;Predložka;administrativny
39300;susednými;Prídavné meno;administrativny
39301;štátmi;Podstatné meno;administrativny
39302;a;Spojka;administrativny
39303;cezhraničná;Prídavné meno;administrativny
39304;spolupráca;Podstatné meno;administrativny
39305;Vláda;Podstatné meno;administrativny
39306;využije;Sloveso;administrativny
39307;všetky;Zámeno;administrativny
39308;možnosti;Podstatné meno;administrativny
39309;na;Predložka;administrativny
39310;zintenzívnenie;Podstatné meno;administrativny
39311;stykov;Podstatné meno;administrativny
39312;s;Predložka;administrativny
39313;Poľskom;Podstatné meno;administrativny
39314;a;Spojka;administrativny
39315;Maďarskom;Podstatné meno;administrativny
39316;a;Spojka;administrativny
39317;je;Sloveso;administrativny
39318;pripravená;Príčastie - Sloveso;administrativny
39319;aktívne;Príslovka;administrativny
39320;sa;Zvratné zámeno;administrativny
39321;podieľať;Sloveso;administrativny
39322;na;Predložka;administrativny
39323;efektívnom;Prídavné meno;administrativny
39324;a;Spojka;administrativny
39325;pragmatickom;Prídavné meno;administrativny
39326;fungovaní;Podstatné meno;administrativny
39327;vyšehradskej;Prídavné meno;administrativny
39328;spolupráce;Podstatné meno;administrativny
39329;.;Interpunkcia;administrativny
39330;Trvalá;Prídavné meno;administrativny
39331;pozornosť;Podstatné meno;administrativny
39332;bude;Sloveso;administrativny
39333;venovaná;Príčastie - Sloveso;administrativny
39334;rozvoju;Podstatné meno;administrativny
39335;vzťahov;Podstatné meno;administrativny
39336;s;Predložka;administrativny
39337;Ukrajinou;Podstatné meno;administrativny
39338;,;Interpunkcia;administrativny
39339;ktorá;Zámeno;administrativny
39340;je;Sloveso;administrativny
39341;naším;Zámeno;administrativny
39342;najväčším;Prídavné meno;administrativny
39343;susedom;Podstatné meno;administrativny
39344;.;Interpunkcia;administrativny
39345;Ďalšie;Prídavné meno;administrativny
39346;oblasti;Podstatné meno;administrativny
39347;dvojstrannej;Prídavné meno;administrativny
39348;a;Spojka;administrativny
39349;mnohostrannej;Prídavné meno;administrativny
39350;diplomacie;Podstatné meno;administrativny
39351;Primeraná;Príčastie - Sloveso;administrativny
39352;pozornosť;Podstatné meno;administrativny
39353;bude;Sloveso;administrativny
39354;venovaná;Príčastie - Sloveso;administrativny
39355;rozvíjaniu;Podstatné meno;administrativny
39356;vzťahov;Podstatné meno;administrativny
39357;s;Predložka;administrativny
39358;krajinami;Podstatné meno;administrativny
39359;Ázie;Podstatné meno;administrativny
39360;,;Interpunkcia;administrativny
39361;Afriky;Podstatné meno;administrativny
39362;a;Spojka;administrativny
39363;Latinskej;Prídavné meno;administrativny
39364;Ameriky;Podstatné meno;administrativny
39365;.;Interpunkcia;administrativny
39366;Slovenská;Prídavné meno;administrativny
39367;republika;Podstatné meno;administrativny
39368;sa;Zvratné zámeno;administrativny
39369;zapojí;Sloveso;administrativny
39370;do;Predložka;administrativny
39371;snáh;Podstatné meno;administrativny
39372;medzinárodného;Prídavné meno;administrativny
39373;spoločenstva;Podstatné meno;administrativny
39374;zameraných;Príčastie - Sloveso;administrativny
39375;na;Predložka;administrativny
39376;riešenie;Podstatné meno;administrativny
39377;globálnych;Prídavné meno;administrativny
39378;problémov;Podstatné meno;administrativny
39379;,;Interpunkcia;administrativny
39380;ako;Spojka;administrativny
39381;sú;Sloveso;administrativny
39382;boj;Podstatné meno;administrativny
39383;proti;Predložka;administrativny
39384;organizovanému;Príčastie - Sloveso;administrativny
39385;zločinu;Podstatné meno;administrativny
39386;,;Interpunkcia;administrativny
39387;medzinárodný;Prídavné meno;administrativny
39388;terorizmus;Podstatné meno;administrativny
39389;,;Interpunkcia;administrativny
39390;ekologické;Prídavné meno;administrativny
39391;riziká;Podstatné meno;administrativny
39392;.;Interpunkcia;administrativny
39393;Konkrétnym;Prídavné meno;administrativny
39394;príspevkom;Podstatné meno;administrativny
39395;k;Predložka;administrativny
39396;prevencii;Podstatné meno;administrativny
39397;konfliktov;Podstatné meno;administrativny
39398;a;Spojka;administrativny
39399;k;Predložka;administrativny
39400;udržaniu;Podstatné meno;administrativny
39401;mieru;Podstatné meno;administrativny
39402;bude;Sloveso;administrativny
39403;aj;Častica;administrativny
39404;naďalej;Príslovka;administrativny
39405;aktívna;Prídavné meno;administrativny
39406;účasť;Podstatné meno;administrativny
39407;v;Predložka;administrativny
39408;medzinárodných;Prídavné meno;administrativny
39409;mierových;Prídavné meno;administrativny
39410;operáciách;Podstatné meno;administrativny
39411;.;Interpunkcia;administrativny
39412;Pri;Predložka;administrativny
39413;realizácii;Podstatné meno;administrativny
39414;zahraničnej;Prídavné meno;administrativny
39415;politiky;Podstatné meno;administrativny
39416;bude;Sloveso;administrativny
39417;vláda;Podstatné meno;administrativny
39418;SR;Značky;administrativny
39419;venovať;Sloveso;administrativny
39420;stálu;Prídavné meno;administrativny
39421;pozornosť;Podstatné meno;administrativny
39422;otázkam;Podstatné meno;administrativny
39423;ľudskej;Prídavné meno;administrativny
39424;dimenzie;Podstatné meno;administrativny
39425;.;Interpunkcia;administrativny
39426;Optimalizácia;Podstatné meno;administrativny
39427;zahraničnej;Prídavné meno;administrativny
39428;služby;Podstatné meno;administrativny
39429;Vláda;Podstatné meno;administrativny
39430;pripraví;Sloveso;administrativny
39431;legislatívny;Prídavné meno;administrativny
39432;rámec;Podstatné meno;administrativny
39433;pre;Predložka;administrativny
39434;zabezpečenie;Podstatné meno;administrativny
39435;efektívnej;Prídavné meno;administrativny
39436;činnosti;Podstatné meno;administrativny
39437;zahraničnej;Prídavné meno;administrativny
39438;služby;Podstatné meno;administrativny
39439;,;Interpunkcia;administrativny
39440;čo;Zámeno;administrativny
39441;predpokladá;Sloveso;administrativny
39442;aj;Častica;administrativny
39443;zohľadnenie;Podstatné meno;administrativny
39444;jej;Zámeno;administrativny
39445;špecifík;Podstatné meno;administrativny
39446;.;Interpunkcia;administrativny
39447;Jednou;Číslovka;administrativny
39448;z;Predložka;administrativny
39449;podmienok;Podstatné meno;administrativny
39450;vysoko;Príslovka;administrativny
39451;profesionálneho;Prídavné meno;administrativny
39452;výkonu;Podstatné meno;administrativny
39453;zahraničnej;Prídavné meno;administrativny
39454;služby;Podstatné meno;administrativny
39455;je;Sloveso;administrativny
39456;pritom;Príslovka;administrativny
39457;realizácia;Podstatné meno;administrativny
39458;kvalitnej;Prídavné meno;administrativny
39459;personálnej;Prídavné meno;administrativny
39460;politiky;Podstatné meno;administrativny
39461;v;Predložka;administrativny
39462;rezorte;Podstatné meno;administrativny
39463;zahraničných;Prídavné meno;administrativny
39464;vecí;Podstatné meno;administrativny
39465;.;Interpunkcia;administrativny
39466;III;Číslica;administrativny
39467;.;Interpunkcia;administrativny
39468;Vláda;Podstatné meno;administrativny
39469;Slovenskej;Prídavné meno;administrativny
39470;republiky;Podstatné meno;administrativny
39471;prizýva;Sloveso;administrativny
39472;spoluobčanov;Podstatné meno;administrativny
39473;k;Predložka;administrativny
39474;spolupráci;Podstatné meno;administrativny
39475;.;Interpunkcia;administrativny
39476;Máme;Sloveso;administrativny
39477;spoločnú;Prídavné meno;administrativny
39478;príležitosť;Podstatné meno;administrativny
39479;napísať;Sloveso;administrativny
39480;vynikajúcu;Príčastie - Sloveso;administrativny
39481;kapitolu;Podstatné meno;administrativny
39482;slovenských;Prídavné meno;administrativny
39483;dejín;Podstatné meno;administrativny
39484;.;Interpunkcia;administrativny
39485;Slovensko;Podstatné meno;administrativny
39486;má;Sloveso;administrativny
39487;dôvod;Podstatné meno;administrativny
39488;na;Predložka;administrativny
39489;sebavedomie;Podstatné meno;administrativny
39490;.;Interpunkcia;administrativny
39491;V;Predložka;administrativny
39492;uplynulých;Prídavné meno;administrativny
39493;rokoch;Podstatné meno;administrativny
39494;ukázalo;Sloveso;administrativny
39495;silný;Prídavné meno;administrativny
39496;vzťah;Podstatné meno;administrativny
39497;k;Predložka;administrativny
39498;demokratickým;Prídavné meno;administrativny
39499;hodnotám;Podstatné meno;administrativny
39500;a;Spojka;administrativny
39501;silu;Podstatné meno;administrativny
39502;riešiť;Sloveso;administrativny
39503;mnohé;Číslovka;administrativny
39504;problémy;Podstatné meno;administrativny
39505;.;Interpunkcia;administrativny
39506;Venujem;Sloveso;umelecky_romany
39507;svojej;Zámeno;umelecky_romany
39508;manželke;Podstatné meno;umelecky_romany
39509;Lili;Podstatné meno;umelecky_romany
39510;Vidím;Sloveso;umelecky_romany
39511;,;Interpunkcia;umelecky_romany
39512;že;Spojka;umelecky_romany
39513;začínam;Sloveso;umelecky_romany
39514;strácať;Sloveso;umelecky_romany
39515;niť;Podstatné meno;umelecky_romany
