Slovo;POSTAG;Slovo2;POSTAG2
.;SENT;.;Z
Nepovedal;VLdsam-;Nepovedal;VLdsam-
som;VKesa+;som;VKesa+
jej;PFfs3;jej;PFfs3
nič;PFns4;nič;PFns4
.;SENT;.;Z
Jej;PUfs1;Jej;PUfs1
fyzická;AAfs1x;fyzická;AAfs1x
prítomnosť;SSfs1;prítomnosť;SSfs1
stačila;VLjscf+;stačila;VLjscf+
,;Z;,;Z
aby;OY;aby;OY
sa;R;sa;R
pohlo;VLdscn+;pohlo;VLdscn+
zviera;SSns1;zviera;SSns1
,;Z;,;Z
ktoré;PAns1;ktoré;PAns1
sa;R;sa;R
vo;Ev6;vo;Ev6
mne;PPhs6;mne;PPhs6
skrývalo;VLescn+;skrývalo;VLescn+
.;SENT;.;Z
Znehybnel;VLdsam+;Znehybnel;VLdsam+
som;VKesa+;som;VKesa+
s;Eu7;s;Eu7
pohárom;SSis7;pohárom;SSis7
whisky;SUfs2;whisky;SUfs2
v;Eu6;v;Eu6
ruke;SSfs6;ruke;SSfs6
.;SENT;.;Z
Zároveň;Dx;Zároveň;Dx
som;VKesa+;som;VKesa+
zatúžil;VLdsam+;zatúžil;VLdsam+
po;Eu6;po;Eu6
ďalšom;AAis6x;ďalšom;AAis6x
pohári;SSis6;pohári;SSis6
whisky;SUfs2;whisky;SUfs2
.;SENT;.;Z
Aspoň;T;Aspoň;T
pre;Eu4;pre;Eu4
mňa;PPhs4;mňa;PPhs4
.;SENT;.;Z
V;Eu6;V;Eu6
tomto;PFis6;tomto;PFis6
podniku;SSis6;podniku;SSis6
si;R;si;R
nemôžem;VKesa-;nemôžem;VKesa-
dovoliť;VId+;dovoliť;VId+
luxus;SSis4;luxus;SSis4
v;Eu6;v;Eu6
podobe;SSfs6;podobe;SSfs6
ďalšej;AAfs2x;ďalšej;AAfs2x
whisky;SUfs2;whisky;SUfs2
,;Z;,;Z
ani;O;ani;O
keby;OY;keby;OY
som;VKesa+;som;VKesa+
išiel;VLesam+;išiel;VLesam+
dušu;SSfs4;dušu;SSfs4
vypustiť;VId+;vypustiť;VId+
.;SENT;.;Z
Oznámila;VLdscf+;Oznámila;VLdscf+
mi;PPhs3;mi;PPhs3
,;Z;,;Z
že;O;že;O
ma;PPhs4;ma;PPhs4
pozýva;VKesc+;pozýva;VKesc+
.;SENT;.;Z
Predseda;SSms1;Predseda;SSms1
našej;PFfs2;našej;PFfs2
nadácie;SSfs2;nadácie;SSfs2
mal;VLescm+;mal;VLescm+
v;Eu6;v;Eu6
tom;PFis6;tom;PFis6
hoteli;SSis6;hoteli;SSis6
raz;Dx;raz;Dx
popoludní;Dx;popoludní;Dx
tlačovú;AAfs4x;tlačovú;AAfs4x
konferenciu;SSfs4;konferenciu;SSfs4
a;O;a;O
ja;PPhs1;ja;PPhs1
som;VKesa+;som;VKesa+
na;Eu4;na;Eu4
ňu;PFfs4;ňu;PFfs4
pozvala;VLdsaf+;pozvala;VLdsaf+
Irmu;SSfs4:r;Irmu;SSfs4:r
.;SENT;.;Z
Miluje;VKesc+;Miluje;VKesc+
tlačové;AAfp4x;tlačové;AAfp4x
konferencie;SSfp4;konferencie;SSfp4
.;SENT;.;Z
Volá;VKesc+;Volá;VKesc+
sa;R;sa;R
Adriano;SSms1:r;Adriano;SSms1:r
.;SENT;.;Z
Ja;PPhs1;Ja;PPhs1
mám;VKesa+;mám;VKesa+
za;Eu4;za;Eu4
úlohu;SSfs4;úlohu;SSfs4
robiť;VIe+;robiť;VIe+
sprostredkovateľku;SSfs4;sprostredkovateľku;SSfs4
.;SENT;.;Z
Čašník;SSms1;Čašník;SSms1
priniesol;VLdscm+;priniesol;VLdscm+
druhú;NAfs4;druhú;NAfs4
whisky;SUfs4;whisky;SUfs4
.;SENT;.;Z
Teraz;Dx;Teraz;Dx
ťa;PPhs4;ťa;PPhs4
pozývam;VKesa+;pozývam;VKesa+
ja;PPhs1;ja;PPhs1
,;Z;,;Z
povedal;VLdsam+;povedal;VLdsam+
som;VKesa+;som;VKesa+
,;Z;,;Z
ale;O;ale;O
Lori;SUfs1:r;Lori;SUfs1:r
odvetila;VLdscf+;odvetila;VLdscf+
,;Z;,;Z
že;O;že;O
nič;PFns1;nič;PFns4
nechce;VKesc-;nechce;VKesc-
.;SENT;.;Z
Irma;SSfs1:r;Irma;SSfs1:r
mala;VLescf+;mala;VLescf+
šťastie;SSns4;šťastie;SSns4
.;SENT;.;Z
Zmĺkol;VLdsam+;Zmĺkol;VLdsam+
som;VKesa+;som;VKesa+
.;SENT;.;Z
Zachvátil;VLdsci+;Zachvátil;VLdsci+
ma;PPhs4;ma;PPhs4
jeden;NFis1;jeden;NFis1
z;Eu2;z;Eu2
mojich;PFip2;mojich;PFip2
depresívnych;AAip2x;depresívnych;AAip2x
stavov;SSip2;stavov;SSip2
a;O;a;O
prepadol;VLdsam+;prepadol;VLdsam+
som;VKesa+;som;VKesa+
sa;R;sa;R
do;Eu2;do;Eu2
hlbín;SSfp2;hlbín;SSfp2
absurdnosti;SSfs2;absurdnosti;SSfs2
.;SENT;.;Z
Vytrhol;VLdsam+;Vytrhol;VLdsam+
som;VKesa+;som;VKesa+
mu;PFms3;mu;PFms3
ho;PFis4;ho;PFis4
a;O;a;O
opäť;Dx;opäť;Dx
som;VKesa+;som;VKesa+
ho;PFis4;ho;PFis4
vypil;VLdsam+;vypil;VLdsam+
až;T;až;T
do;Eu2;do;Eu2
dna;SSns2;dna;SSns2
.;SENT;.;Z
Keď;O;Keď;O
som;VKesa+;som;VKesa+
tak;PD;tak;PD
urobil;VLdsam+;urobil;VLdsam+
,;Z;,;Z
spamätal;VLdsam+;spamätal;VLdsam+
som;VKesa+;som;VKesa+
sa;R;sa;R
.;SENT;.;Z
Poprosil;VLdsam+;Poprosil;VLdsam+
som;VKesa+;som;VKesa+
ju;PFfs4;ju;PFfs4
,;Z;,;Z
aby;OY;aby;OY
ma;PPhs4;ma;PPhs4
odprevadila;VLdscf+;odprevadila;VLdscf+
domov;Dx;domov;Dx
.;SENT;.;Z
Vonku;Dx;Vonku;Dx
stále;Dx;stále;Dx
pršalo;VLescn+;pršalo;VLescn+
.;SENT;.;Z
Moja;PFfs1;Moja;PFfs1
myseľ;SSfs1;myseľ;SSfs1
opäť;Dx;opäť;Dx
postrehla;VLdscf+;postrehla;VLdscf+
akúsi;PAfs4;akúsi;PAfs4
súvislosť;SSfs4;súvislosť;SSfs4
medzi;Eu7;medzi;Eu7
autom;SSns7;autom;SSns7
a;O;a;O
týmito;PFmp7;týmito;PFmp7
dvoma;NNmp7;dvoma;NNmp7
mužmi;SSmp7;mužmi;SSmp7
.;SENT;.;Z
Lori;SUfs1:r;Lori;SUfs1:r
naštartovala;VLdscf+;naštartovala;VLdscf+
auto;SSns4;auto;SSns4
.;SENT;.;Z
Išli;VLepah+;Išli;VLepah+
sme;VKepa+;sme;VKepa+
až;T;až;T
k;Eu3;k;Eu3
nášmu;PFis3;nášmu;PFis3
vchodu;SSis3;vchodu;SSis3
na;Eu6;na;Eu6
zadnej;AAfs6x;zadnej;AAfs6x
strane;SSfs6;strane;SSfs6
domu;SSis2;domu;SSis2
a;O;a;O
celou;AAfs7x;celou;AAfs7x
cestou;SSfs7;cestou;SSfs7
sme;VKepa+;sme;VKepa+
mlčali;VLepah+;mlčali;VLepah+
.;SENT;.;Z
Kto;PFms1;Kto;PFms1
ti;PPhs3;ti;PPhs3
povedal;VLdscm+;povedal;VLdscm+
,;Z;,;Z
že;O;že;O
si;R;si;VKesb+
starec;SSms1;starec;SSms1
?;SENT;?;Z
A;O;A;O
pokiaľ;O;pokiaľ;O
ide;VKesc+;ide;VKesc+
o;Eu4;o;Eu4
Taliana;SSms4:r;Taliana;SSms4:r
,;Z;,;Z
sám;PFms1;sám;PFms1
ho;PFms4;ho;PFms4
uvidíš;VKdsb+;uvidíš;VKdsb+
.;SENT;.;Z
Svojho;PFms4;Svojho;PFms4
dôstojníka;SSms4;dôstojníka;SSms4
KFOR;W;KFOR;W
priviedla;VLdscf+;priviedla;VLdscf+
Irma;SSfs1:r;Irma;SSfs1:r
domov;Dx;domov;Dx
o;Eu4;o;Eu4
tri;NNip4;tri;NNip4
dni;SSip4;dni;SSip4
.;SENT;.;Z
Pri;Eu6;Pri;Eu6
tejto;PFfs6;tejto;PFfs6
príležitosti;SSfs6;príležitosti;SSfs6
som;VKesa+;som;VKesa+
zistil;VLdsam+;zistil;VLdsam+
,;Z;,;Z
že;O;že;O
o;Eu6;o;Eu6
tom;PFns6;tom;PFns6
,;Z;,;Z
čo;PFns1;čo;PFns1
sa;R;sa;R
deje;VKesc+;deje;VKesc+
už;T;už;T
tri;NNip4;tri;NNip4
mesiace;SSip4;mesiace;SSip4
,;Z;,;Z
sa;R;sa;R
dozvedám;VKesa+;dozvedám;VKesa+
ako;O;ako;O
posledný;NAms1;posledný;NAms1
.;SENT;.;Z
Podľa;Eu2;Podľa;Eu2
Irminých;AFip2x:r;Irminých;AFip2x:r
pokynov;SSip2;pokynov;SSip2
–;Z;–;Z
samotná;AAfs1x;samotná;AAfs1x
Irma;SSfs1;Irma;SSfs1
vybavovala;VLescf+;vybavovala;VLescf+
všelijaké;PAfp4;všelijaké;PAfp4
formality;SSfp4;formality;SSfp4
–;Z;–;Z
ma;PPhs4;ma;PPhs4
poprosili;VLdpcf+;poprosili;VLdpcf+
,;Z;,;Z
aby;OY;aby;OY
som;VKesa+;som;VKesa+
odišiel;VLdsam+;odišiel;VLdsam+
z;Eu2;z;Eu2
domu;SSis2;domu;SSis2
a;O;a;O
vrátil;VLdscm+;vrátil;VLdsam+
sa;R;sa;R
podľa;Eu2;podľa;Eu2
možnosti;SSfs2;možnosti;SSfs2
až;T;až;T
večer;Dx;večer;Dx
.;SENT;.;Z
Keď;O;Keď;O
uplynul;VLdsci+;uplynul;VLdsci+
tretí;NAis1;tretí;NAis1
deň;SSis1;deň;SSis1
a;O;a;O
ja;PPhs1;ja;PPhs1
som;VKesa+;som;VKesa+
sa;R;sa;R
v;Eu4;v;Eu4
ten;PFis4;ten;PFis4
večer;SSis4;večer;SSis4
konečne;T;konečne;Dx
ocitol;VLdscm+;ocitol;VLdsam+
sám;PFms1;sám;PFms1
,;Z;,;Z
bol;VLesam+;bol;VLesam+
som;VKesa+;som;VKesa+
na;Eu6;na;Eu6
pokraji;SSis6;pokraji;SSis6
nervového;AAns2x;nervového;AAns2x
vyčerpania;SSns2;vyčerpania;SSns2
.;SENT;.;Z
Neprihovorím;VKdsa-;Neprihovorím;VKdsa-
sa;R;sa;R
mu;PFms3;mu;PFms3
po;Q;po;Q
taliansky;Dx;taliansky;Dx
.;SENT;.;Z
Podľa;Eu2;Podľa;Eu2
mňa;PPhs2;mňa;PPhs2
Talianom;SSmp3:r;Talianom;SSmp3:r
nejde;VKesc-;nejde;VKesc-
štúdium;SSns4;štúdium;SSns1
cudzích;AAip2x;cudzích;AAip2x
jazykov;SSip2;jazykov;SSip2
.;SENT;.;Z
A;O;A;O
obidve;NNfp1;obidve;NNfp1
fotografie;SSfp1;fotografie;SSfp1
boli;VLepcf+;boli;VLepcf+
z;Eu2;z;Eu2
čias;SSip2;čias;SSip2
ich;PUfs2;ich;PUfs2
mladosti;SSfs2;mladosti;SSfs2
.;SENT;.;Z
Potom;Dx;Potom;Dx
sa;R;sa;R
návštevník;SSms1;návštevník;SSms1
obrátil;VLdscm+;obrátil;VLdscm+
k;Eu3;k;Eu3
rámu;SSis3;rámu;SSis3
,;Z;,;Z
kde;PD;kde;PD
bol;VLescm+;bol;VLescm+
otec;SSms1;otec;SSms1
.;SENT;.;Z
Cieľom;SSis7;Cieľom;SSis7
tejto;PFfs2;tejto;PFfs2
druhej;NAfs2;druhej;NAfs2
fázy;SSfs2;fázy;SSfs2
bolo;VLescn+;bolo;VLescn+
znepokojiť;VId+;znepokojiť;VId+
dôstojníka;SSms4;dôstojníka;SSms4
KFOR;W;KFOR;W
.;SENT;.;Z
Vlastne;T;Vlastne;T
jej;PUfs1;jej;PUfs1
rodina;SSfs1;rodina;SSfs1
bola;VLescf+;bola;VLescf+
veľmi;Dx;veľmi;Dx
bohatá;AAfs1x;bohatá;AAfs1x
.;SENT;.;Z
V;Eu6;V;Eu6
polovici;SSfs6;polovici;SSfs6
minulého;AAns2x;minulého;AAns2x
storočia;SSns2;storočia;SSns2
ich;PFmp4;ich;PFmp4
slávny;AAis1x;slávny;AAis1x
albánsky;AAis1x;albánsky;AAis1x
agrárny;AAis1x;agrárny;AAis1x
proletariát;SSis1;proletariát;SSis1
pripravil;VLdsci+;pripravil;VLdsci+
o;Eu4;o;Eu4
všetko;PFns4;všetko;PFns4
bohatstvo;SSns4;bohatstvo;SSns4
.;SENT;.;Z
Takéto;PAns1;Takéto;PAns1
okrádanie;SSns1;okrádanie;SSns1
pokračuje;VKesc+;pokračuje;VKesc+
,;Z;,;Z
v;Eu6;v;Eu6
iných;PAfp6;iných;PAfp6
formách;SSfp6;formách;SSfp6
,;Z;,;Z
aj;T;aj;T
dnes;Dx;dnes;Dx
.;SENT;.;Z
Viem;VKesa+;Viem;VKesa+
o;Eu4;o;Eu6
vás;PPhp4;vás;PPhp6
všetko;PFns1;všetko;PFns4
!;SENT;!;Z
Pechota;SSfs1;Pechota;SSfs1
pozostáva;VKesc+;pozostáva;VKesc+
z;Eu2;z;Eu2
jediného;NAms2;jediného;NAms2
vojaka;SSms2;vojaka;SSms2
.;SENT;.;Z
Nie;T;Nie;T
nadarmo;Dx;nadarmo;Dx
som;VKesa+;som;VKesa+
v;Eu6;v;Eu6
mladosti;SSfs6;mladosti;SSfs6
,;Z;,;Z
ešte;T;ešte;T
pred;Eu7;pred;Eu7
Tomom;SSms7:r;Tomom;SSms7:r
Jonesom;SSms7:r;Jonesom;SSms7:r
,;Z;,;Z
býval;VLescm+;býval;VLesam+
priaznivcom;SSms7;priaznivcom;SSms7
Adriana;SSms2:r;Adriana;SSms2:r
Celentana;SSms2:r;Celentana;SSms2:r
.;SENT;.;Z
Dobre;Dx;Dobre;Dx
som;VKesa+;som;VKesa+
poznal;VLjsam+;poznal;VLjsam+
mená;SSnp4;mená;SSnp4
všetkých;PFmp2;všetkých;PFmp2
dobových;AAmp2x;dobových;AAmp2x
talianskych;AAmp2x;talianskych;AAmp2x
spevákov;SSmp2;spevákov;SSmp2
aj;O;aj;O
všetkých;PFmp2;všetkých;PFmp2
futbalistov;SSmp2;futbalistov;SSmp2
.;SENT;.;Z
Naozaj;T;Naozaj;T
ste;VKepb+;ste;VKepb+
Západoeurópan;SSms1:r;Západoeurópan;SSms1:r
.;SENT;.;Z
Ilúzia;SSfs1;Ilúzia;SSfs1
takejto;PAfs2;takejto;PAfs2
taktiky;SSfs2;taktiky;SSfs2
netrvala;VLescf-;netrvala;VLescf-
dlho;Dx;dlho;Dx
.;SENT;.;Z
Kurz;SSis1;Kurz;SSis1
dolára;SSis2;dolára;SSis2
trochu;Dx;trochu;NUns4
klesol;VLdscm+;klesol;VLdsci+
,;Z;,;Z
pomyslel;VLdsam+;pomyslel;VLdsam+
som;VKesa+;som;VKesa+
si;R;si;R
.;SENT;.;Z
Nakoniec;Dx;Nakoniec;Dx
obrazovka;SSfs1;obrazovka;SSfs1
môjho;PFis2;môjho;PFis2
mozgu;SSis2;mozgu;SSis2
zhasla;VLdscf+;zhasla;VLdscf+
a;O;a;O
uprostred;Eu2;uprostred;Eu2
nej;PFfs2;nej;PFfs2
zostal;VLdsci+;zostal;VLdsci+
jeden;NFis1;jeden;NFis1
žiariaci;Gkis1x;žiariaci;Gkis1x
bod;SSis1;bod;SSis1
.;SENT;.;Z
Neodpovedal;VLdscm-;Neodpovedal;VLjscm-
.;SENT;.;Z
Vstal;VLdsam+;Vstal;VLdsam+
som;VKesa+;som;VKesa+
a;O;a;O
otočil;VLdsam+;otočil;VLdsam+
som;VKesa+;som;VKesa+
sa;R;sa;R
mu;PFms3;mu;PFms3
chrbtom;SSis7;chrbtom;SSis7
.;SENT;.;Z
Zobudil;VLdsci+;Zobudil;VLdsci+
ma;PPhs4;ma;PPhs4
zvonček;SSis1;zvonček;SSis1
pri;Eu6;pri;Eu6
dverách;SSfp6;dverách;SSfp6
bytu;SSis2;bytu;SSis2
.;SENT;.;Z
S;Eu7;S;Eu7
námahou;SSfs7;námahou;SSfs7
som;VKesa+;som;VKesa+
otvoril;VLdsam+;otvoril;VLdsam+
oči;SSnp4;oči;SSnp4
.;SENT;.;Z
A;O;A;O
otočil;VLdsam+;otočil;VLdsam+
som;VKesa+;som;VKesa+
sa;R;sa;R
na;Eu4;na;Eu4
druhý;NAis4;druhý;NAis4
bok;SSis4;bok;SSis4
.;SENT;.;Z
Ony;PFfp1;Ony;PFfp1
,;Z;,;Z
samozrejme;T;samozrejme;T
,;Z;,;Z
vyzváňali;VLepcf+;vyzváňali;VLepcf+
ďalej;Dx;ďalej;Dx
.;SENT;.;Z
Čakal;VLesam+;Čakal;VLesam+
som;VKesa+;som;VKesa+
v;Eu6;v;Eu6
obývačke;SSfs6;obývačke;SSfs6
,;Z;,;Z
mal;VLesam+;mal;VLesam+
som;VKesa+;som;VKesa+
na;Eu6;na;Eu6
sebe;PPhs6;sebe;PPhs6
oblek;SSis4;oblek;SSis4
s;Eu7;s;Eu7
kravatou;SSfs7;kravatou;SSfs7
.;SENT;.;Z
Nevyšiel;VLdsam-;Nevyšiel;VLdsam-
som;VKesa+;som;VKesa+
ku;Ev3;ku;Ev3
dverám;SSfp3;dverám;SSfp3
.;SENT;.;Z
Bál;VLesam+;Bál;VLesam+
som;VKesa+;som;VKesa+
sa;R;sa;R
,;Z;,;Z
že;O;že;O
moji;PFmp1;moji;PFmp1
rodičia;SSmp1;rodičia;SSmp1
sa;R;sa;R
namiesto;Eu2;namiesto;Eu2
toho;PFns2;toho;PFns2
,;Z;,;Z
aby;OY;aby;OY
ma;PPhs4;ma;PPhs4
bránili;VLepcm+;bránili;VLepcm+
,;Z;,;Z
postavia;VKdpc+;postavia;VKdpc+
na;Eu4;na;Eu4
stranu;SSfs4;stranu;SSfs4
útočníka;SSms2;útočníka;SSms2
.;SENT;.;Z
Nevidel;VLesam-;Nevidel;VLesam-
som;VKesa+;som;VKesa+
nijakú;PAfs4;nijakú;PAfs4
uniformu;SSfs4;uniformu;SSfs4
.;SENT;.;Z
Pri;Eu6;Pri;Eu6
príležitosti;SSfs6;príležitosti;SSfs6
Irminho;AFis2x:r;Irminho;AFis2x:r
odchodu;SSis2;odchodu;SSis2
sme;VKepa+;sme;VKepa+
usporiadali;VLdpah+;usporiadali;VLdpah+
slávnostný;AAis4x;slávnostný;AAis4x
obed;SSis4;obed;SSis4
.;SENT;.;Z
Alebo;O;Alebo;O
neprítomnosť;SSfs1;neprítomnosť;SSfs4
.;SENT;.;Z
Nedovolím;VKdsa-;Nedovolím;VKdsa-
to;PFns1;to;PFns4
ani;T;ani;O
jednému;NFms3;jednému;NFms3
,;Z;,;Z
ani;O;ani;O
druhému;NAms3;druhému;NAms3
.;SENT;.;Z
Neotočil;VLdscm-;Neotočil;VLdscm-
hlavu;SSfs4;hlavu;SSfs4
.;SENT;.;Z
Pocítil;VLdsam+;Pocítil;VLdsam+
som;VKesa+;som;VKesa+
znechutenosť;SSfs4;znechutenosť;SSfs4
.;SENT;.;Z
Ako;O;Ako;O
nejaká;PAfs1;nejaká;PAfs1
neviditeľná;AAfs1x;neviditeľná;AAfs1x
kamera;SSfs1;kamera;SSfs1
.;SENT;.;Z
Mladí;AAmp1x;Mladí;SAmp1
tancovali;VLepcm+;tancovali;VLepcm+
takmer;T;takmer;T
v;Eu6;v;Eu6
objatí;SSns6;objatí;SSns6
a;O;a;O
ja;PPhs1;ja;PPhs1
som;VKesa+;som;VKesa+
musel;VLesam+;musel;VLesam+
chvíľu;SSfs4;chvíľu;SSfs4
čakať;VIe+;čakať;VIe+
.;SENT;.;Z
Za;Eu7;Za;Eu7
jej;PUis7;jej;PUis7
chrbtom;SSis7;chrbtom;SSis7
mi;PPhs3;mi;PPhs3
zostala;VLdscf+;zostala;VLdscf+
v;Eu6;v;Eu6
zábere;SSis6;zábere;SSfs6
Talianova;AFfs1x:r;Talianova;AFfs1x:r
tvár;SSfs1;tvár;SSfs1
.;SENT;.;Z
Zmĺkol;VLdsam+;Zmĺkol;VLdsam+
som;VKesa+;som;VKesa+
.;SENT;.;Z
Ale;O;Ale;O
ja;PPhs1;ja;PPhs1
som;VKesa+;som;VKesa+
si;R;si;R
nič;PFns4;nič;PFns4
nevšimol;VLdsam-;nevšimol;VLdsam-
.;SENT;.;Z
Mal;VLesam+;Mal;VLesam+
som;VKesa+;som;VKesa+
pocit;SSis4;pocit;SSis4
,;Z;,;Z
že;O;že;O
za;Eu7;za;Eu7
známymi;AAfp7x;známymi;AAfp7x
črtami;SSfp7;črtami;SSfp7
tváre;SSfs2;tváre;SSfs2
,;Z;,;Z
ktorých;PAmp4;ktorých;PAfp2
som;VKesa+;som;VKesa+
sa;R;sa;R
vo;Ev6;vo;Ev6
sne;SSis6;sne;SSis6
neraz;ND;neraz;Dx
dotýkal;VLesam+;dotýkal;VLesam+
,;Z;,;Z
sa;R;sa;R
skrýva;VKesc+;skrýva;VKesc+
akési;PAns1;akési;PAns1
tajomstvo;SSns1;tajomstvo;SSns1
.;SENT;.;Z
Odtiahol;VLdsam+;Odtiahol;VLdsam+
som;VKesa+;som;VKesa+
kameru;SSfs4;kameru;SSfs4
.;SENT;.;Z
Pozvať;VId+;Pozvať;VId+
ju;PFfs4;ju;PFfs4
do;Eu2;do;Eu2
tanca;SSis2;tanca;SSis2
.;SENT;.;Z
A;O;A;O
zovrel;VLdsam+;zovrel;VLdsam+
som;VKesa+;som;VKesa+
ruky;SSfp4;ruky;SSfp4
za;Eu7;za;Eu7
chrbtom;SSis7;chrbtom;SSis7
,;Z;,;Z
silne;Dx;silne;Dx
.;SENT;.;Z
Až;T;Až;T
ma;PPhs4;ma;PPhs4
zaboleli;VLdpci+;zaboleli;VLdpcf+
.;SENT;.;Z
A;O;A;O
opäť;Dx;opäť;Dx
som;VKesa+;som;VKesa+
zamieril;VLdsam+;zamieril;VLdsam+
kameru;SSfs4;kameru;SSfs4
na;Eu4;na;Eu4
Lorinu;AFfs4x:r;Lorinu;AFfs4x:r
tvár;SSfs4;tvár;SSfs4
.;SENT;.;Z
Zúfalo;Dx;Zúfalo;Dx
po;Eu6;po;Eu6
tebe;PPhs6;tebe;PPhs6
túžim;VKesa+;túžim;VKesa+
,;Z;,;Z
slečna;SSfs5;slečna;SSfs1
,;Z;,;Z
a;O;a;O
to;PFns1;to;O
je;VKesc+;je;VKesc+
jedno;NFns1;jedno;NFns1
z;Eu2;z;Eu2
mojich;PFnp2;mojich;PFnp2
bláznovstiev;SSnp2;bláznovstiev;SSnp2
.;SENT;.;Z
Pozoroval;VLesam+;Pozoroval;VLesam+
som;VKesa+;som;VKesa+
každý;PAis4;každý;PAis4
štvorcový;AAis4x;štvorcový;AAis4x
milimeter;SSis4;milimeter;SSis4
jej;PUfs2;jej;PUfs2
tváre;SSfs2;tváre;SSfs2
.;SENT;.;Z
O;Eu4;O;Eu4
niečo;PFns4;niečo;PFns4
neskôr;Dy;neskôr;Dy
prišiel;VLdsci+;prišiel;VLdsci+
taxík;SSis1;taxík;SSis1
.;SENT;.;Z
Ja;PPhs1;Ja;PPhs1
som;VKesa+;som;VKesa+
uložil;VLdsam+;uložil;VLdsam+
mladým;SAmp3;mladým;SAmp3
batožinu;SSfs4;batožinu;SSfs4
do;Eu2;do;Eu2
taxíka;SSis2;taxíka;SSis2
a;O;a;O
nasadol;VLdsam+;nasadol;VLdsam+
som;VKesa+;som;VKesa+
doň;PFns2g;doň;PFis2g
.;SENT;.;Z
Mladí;AAmp1x;Mladí;SAmp1
nastúpili;VLdpcm+;nastúpili;VLdpcm+
do;Eu2;do;Eu2
Lorinho;AFns2x:r;Lorinho;AFns2x:r
auta;SSns2;auta;SSns2
.;SENT;.;Z
Na;Eu6;Na;Eu6
okraji;SSis6;okraji;SSis6
Tirany;SSfs2:r;Tirany;SSfs2:r
,;Z;,;Z
keď;O;keď;O
sme;VKepa+;sme;VKepa+
prechádzali;VLepah+;prechádzali;VLepah+
cez;Eu4;cez;Eu4
predmestie;SSns4;predmestie;SSns4
Lapraka;SSfs1:r;Lapraka;SSfs1:r
,;Z;,;Z
uviazli;VLdpah+;uviazli;VLdpah+
sme;VKepa+;sme;VKepa+
na;Eu6;na;Eu6
križovatke;SSfs6;križovatke;SSfs6
.;SENT;.;Z
Naďalej;Dx;Naďalej;Dx
som;VKesa+;som;VKesa+
stál;VLesam+;stál;VLesam+
na;Eu6;na;Eu6
slnku;SSns6;slnku;SSns6
,;Z;,;Z
pri;Eu6;pri;Eu6
policajtoch;SSmp6;policajtoch;SSmp6
.;SENT;.;Z
Bol;VLesam+;Bol;VLesam+
som;VKesa+;som;VKesa+
celý;AAms1x;celý;AAms1x
stŕpnutý;Gtms1x;stŕpnutý;Gtms1x
.;SENT;.;Z
Čakal;VLesam+;Čakal;VLesam+
som;VKesa+;som;VKesa+
,;Z;,;Z
kým;O;kým;O
zaparkuje;VKdsc+;zaparkuje;VKdsc+
auto;SSns4;auto;SSns4
,;Z;,;Z
a;O;a;O
potom;Dx;potom;Dx
sme;VKepa+;sme;VKepa+
išli;VLepah+;išli;VLepah+
do;Eu2;do;Eu2
kaviarne;SSfs2;kaviarne;SSfs2
pri;Eu6;pri;Eu6
ceste;SSfs6;ceste;SSfs6
.;SENT;.;Z
Túto;PFfs4;Túto;PFfs4
fantastickú;AAfs4x;fantastickú;AAfs4x
predstavu;SSfs4;predstavu;SSfs4
rázne;Dx;rázne;Dx
rozbila;VLdscf+;rozbila;VLdscf+
Lorina;AFfs1x:r;Lorina;AFfs1x:r
prítomnosť;SSfs1;prítomnosť;SSfs1
.;SENT;.;Z
Lori;SUfs1:r;Lori;SUfs1:r
bola;VLescf+;bola;VLescf+
vedľa;Eu2;vedľa;Eu2
mňa;PPhs2;mňa;PPhs2
,;Z;,;Z
aby;OY;aby;OY
mi;PPhs3;mi;PPhs3
potvrdila;VLdscf+;potvrdila;VLdscf+
,;Z;,;Z
že;O;že;O
Irma;SSfs1:r;Irma;SSfs1:r
,;Z;,;Z
ktorú;PAfs4;ktorú;PAfs4
pohltilo;VLdscn+;pohltilo;VLdscn+
nebo;SSns1;nebo;SSns1
,;Z;,;Z
teraz;Dx;teraz;Dx
letí;VKesc+;letí;VKesc+
do;Eu2;do;Eu2
iného;PAis2;iného;PAis2
sveta;SSis2;sveta;SSis2
.;SENT;.;Z
Poprosil;VLdsam+;Poprosil;VLdsam+
som;VKesa+;som;VKesa+
Lori;SUfs3:r;Lori;SUfs4:r
,;Z;,;Z
aby;OY;aby;OY
sme;VKepa+;sme;VKepa+
odišli;VLdpah+;odišli;VLdpah+
.;SENT;.;Z
Ale;O;Ale;O
to;PFns4;to;PFns4
vedia;VKepc+;vedia;VKepc+
všetci;PFmp1;všetci;PFmp1
.;SENT;.;Z
Kým;O;Kým;O
som;VKesa+;som;VKesa+
vystúpil;VLdsam+;vystúpil;VLdsam+
z;Eu2;z;Eu2
auta;SSns2;auta;SSns2
,;Z;,;Z
odvážil;VLdsam+;odvážil;VLdsam+
som;VKesa+;som;VKesa+
sa;R;sa;R
otočiť;VId+;otočiť;VId+
hlavu;SSfs4;hlavu;SSfs4
.;SENT;.;Z
Lori;SUfs1:r;Lori;SUfs1:r
sa;R;sa;R
naklonila;VLdscf+;naklonila;VLdscf+
a;O;a;O
natiahla;VLdscf+;natiahla;VLdscf+
ku;Ev3;ku;Ev3
mne;PPhs3;mne;PPhs3
tvár;SSfs4;tvár;SSfs4
