Slovo;Rod;Slovo2;Rod2
hrdinky;ženský;hrdinky;ženský
.;;.;
Zareagoval;mužský životný;Zareagoval;mužský životný
som;;som;
okamžite;;okamžite;
.;;.;
Vtedy;;Vtedy;
mi;všeobecný;mi;všeobecný
položila;ženský;položila;ženský
ďalšiu;ženský;ďalšiu;ženský
otázku;ženský;otázku;ženský
.;;.;
Nechala;ženský;Nechala;ženský
dole;;dole;
pred;;pred;
domom;mužský neživotný;domom;mužský neživotný
auto;stredný;auto;stredný
.;;.;
Keď;;Keď;
sme;;sme;
vychádzali;všeobecný;vychádzali;všeobecný
z;;z;
izby;ženský;izby;ženský
,;;,;
že;;že;
pôjdeme;;pôjdeme;
k;;k;
autu;stredný;autu;stredný
,;;,;
uvidel;mužský životný;uvidel;mužský životný
som;;som;
vec;ženský;vec;ženský
,;;,;
ktorá;ženský;ktorá;ženský
zvrátila;ženský;zvrátila;ženský
ten;mužský neživotný;ten;mužský neživotný
večer;mužský neživotný;večer;mužský neživotný
nepredvídaným;mužský neživotný;nepredvídaným;mužský neživotný
smerom;mužský neživotný;smerom;mužský neživotný
.;;.;
Bola;ženský;Bola;ženský
to;stredný;to;stredný
tenká;ženský;tenká;ženský
strieborná;ženský;strieborná;ženský
retiazka;ženský;retiazka;ženský
.;;.;
Trápilo;stredný;Trápilo;stredný
ma;všeobecný;ma;všeobecný
niečo;stredný;niečo;stredný
iné;stredný;iné;stredný
:;;:;
musím;;musím;
zvíťaziť;;zvíťaziť;
nad;;nad;
zvieraťom;stredný;zvieraťom;stredný
,;;,;
ktoré;stredný;ktoré;stredný
sa;;sa;
vo;;vo;
mne;všeobecný;mne;všeobecný
prebudilo;stredný;prebudilo;stredný
.;;.;
Ocitlo;stredný;Ocitlo;stredný
sa;;sa;
osamote;;osamote;
s;;s;
Lori;ženský;Lori;ženský
a;;a;
zo;;zo;
svojej;ženský;svojej;ženský
skrýše;ženský;skrýše;ženský
všetko;stredný;všetko;stredný
pozorne;;pozorne;
vnímalo;stredný;vnímalo;stredný
:;;:;
tvary;mužský neživotný;tvary;mužský neživotný
Lorinho;stredný;Lorinho;stredný
tela;stredný;tela;stredný
,;;,;
jej;mužský neživotný;jej;mužský neživotný
dych;mužský neživotný;dych;mužský neživotný
,;;,;
vôňu;ženský;vôňu;ženský
jej;ženský;jej;stredný
mäsa;stredný;mäsa;stredný
.;;.;
Za;;Za;
týchto;ženský;týchto;ženský
okolností;ženský;okolností;ženský
bola;ženský;bola;ženský
akási;ženský;akási;ženský
tenká;ženský;tenká;ženský
strieborná;ženský;strieborná;ženský
retiazka;ženský;retiazka;ženský
na;;na;
jej;mužský neživotný;jej;mužský neživotný
krku;mužský neživotný;krku;mužský neživotný
celkom;;celkom;
bezvýznamná;ženský;bezvýznamná;ženský
.;;.;
Zišli;všeobecný;Zišli;všeobecný
sme;;sme;
dolu;;dolu;
.;;.;
Keď;;Keď;
si;;si;
Lori;ženský;Lori;ženský
sadla;ženský;sadla;ženský
do;;do;
auta;stredný;auta;stredný
,;;,;
sklonila;ženský;sklonila;ženský
sa;;sa;
nad;;nad;
volant;mužský neživotný;volant;mužský neživotný
,;;,;
plecia;stredný;plecia;stredný
sa;;sa;
jej;ženský;jej;ženský
roztriasli;stredný;roztriasli;stredný
a;;a;
ja;všeobecný;ja;všeobecný
som;;som;
si;;si;
zarazene;;zarazene;
uvedomil;mužský životný;uvedomil;mužský životný
,;;,;
že;;že;
vzlyká;;vzlyká;
.;;.;
Takéto;ženský;Takéto;ženský
obavy;ženský;obavy;ženský
som;;som;
rázne;;rázne;
zavrhol;mužský životný;zavrhol;mužský životný
.;;.;
Jej;stredný;Jej;stredný
vysvetlenie;stredný;vysvetlenie;stredný
bolo;stredný;bolo;stredný
až;;až;
príliš;;príliš;
jednoduché;stredný;jednoduché;stredný
.;;.;
Je;;Je;
tvrdohlavý;mužský životný;tvrdohlavý;mužský životný
,;;,;
neodíde;;neodíde;
,;;,;
ani;;ani;
keby;;keby;
som;;som;
to;stredný;to;stredný
ohlásila;ženský;ohlásila;ženský
na;;na;
polícii;ženský;polícii;ženský
.;;.;
Odišla;ženský;Odišla;ženský
som;;som;
preč;;preč;
,;;,;
nechala;ženský;nechala;ženský
som;;som;
ho;mužský životný;ho;mužský životný
tam;;tam;
.;;.;
Natiahla;ženský;Natiahla;ženský
sa;;sa;
k;;k;
zásuvke;ženský;zásuvke;ženský
na;;na;
mojej;ženský;mojej;ženský
strane;ženský;strane;ženský
a;;a;
prehŕňala;ženský;prehŕňala;ženský
sa;;sa;
v;;v;
nej;ženský;nej;ženský
,;;,;
až;;až;
kým;;kým;
nenašla;ženský;nenašla;ženský
škatuľku;ženský;škatuľku;ženský
cigariet;ženský;cigariet;ženský
.;;.;
Mňa;všeobecný;Mňa;všeobecný
sa;;sa;
zatiaľ;;zatiaľ;
zmocnilo;stredný;zmocnilo;stredný
dvojnásobné;stredný;dvojnásobné;stredný
rozrušenie;stredný;rozrušenie;stredný
.;;.;
Vtedy;;Vtedy;
som;;som;
si;;si;
spomenul;mužský životný;spomenul;mužský životný
na;;na;
medailón;mužský neživotný;medailón;mužský neživotný
.;;.;
Po;;Po;
špičkách;ženský;špičkách;ženský
som;;som;
vošiel;mužský životný;vošiel;mužský životný
do;;do;
Irminej;ženský;Irminej;ženský
izby;ženský;izby;ženský
.;;.;
Oči;stredný;Oči;stredný
ma;všeobecný;ma;všeobecný
neklamali;mužský životný;neklamali;stredný
.;;.;
Išiel;mužský životný;Išiel;mužský životný
som;;som;
do;;do;
kuchyne;ženský;kuchyne;ženský
.;;.;
Takto;;Takto;
som;;som;
kedysi;;kedysi;
čakával;mužský životný;čakával;mužský životný
na;;na;
Doloru;ženský;Doloru;ženský
.;;.;
Lori;ženský;Lori;ženský
to;stredný;to;stredný
trvalo;stredný;trvalo;stredný
dlho;;dlho;
,;;,;
ale;;ale;
neplakala;ženský;neplakala;ženský
.;;.;
Lori;ženský;Lori;ženský
zostala;ženský;zostala;ženský
stáť;;stáť;
.;;.;
Povedal;mužský životný;Povedal;mužský životný
som;;som;
jej;ženský;jej;ženský
,;;,;
nech;;nech;
si;;si;
sadne;;sadne;
,;;,;
ale;;ale;
ona;ženský;ona;ženský
sa;;sa;
zdráhala;ženský;zdráhala;ženský
.;;.;
Povedala;ženský;Povedala;ženský
,;;,;
že;;že;
sa;;sa;
cíti;;cíti;
unavená;ženský;unavená;ženský
a;;a;
na;;na;
druhý;mužský neživotný;druhý;mužský neživotný
deň;mužský neživotný;deň;mužský neživotný
musí;;musí;
zavčasu;;zavčasu;
vstávať;;vstávať;
.;;.;
Aj;;Aj;
ja;všeobecný;ja;všeobecný
som;;som;
rada;ženský;rada;ženský
,;;,;
prehodila;ženský;prehodila;ženský
Lori;ženský;Lori;ženský
,;;,;
aj;;aj;
ja;všeobecný;ja;všeobecný
som;;som;
bola;ženský;bola;ženský
otrávená;ženský;otrávená;ženský
až;;až;
na;;na;
smrť;ženský;smrť;ženský
.;;.;
Lori;ženský;Lori;ženský
sa;;sa;
nahlas;;nahlas;
zasmiala;ženský;zasmiala;ženský
.;;.;
Nečakal;mužský životný;Nečakal;mužský životný
som;;som;
,;;,;
že;;že;
ju;ženský;ju;ženský
moje;stredný;moje;stredný
slová;stredný;slová;stredný
až;;až;
tak;;tak;
rozosmejú;;rozosmejú;
.;;.;
Podala;ženský;Podala;ženský
mi;všeobecný;mi;všeobecný
pohár;mužský neživotný;pohár;mužský neživotný
a;;a;
ja;všeobecný;ja;všeobecný
som;;som;
vystrúhal;mužský životný;vystrúhal;mužský životný
biedny;mužský neživotný;biedny;mužský neživotný
úsmev;mužský neživotný;úsmev;mužský neživotný
.;;.;
Poznal;mužský životný;Poznal;mužský životný
som;;som;
tú;ženský;tú;ženský
ženu;ženský;ženu;ženský
,;;,;
vedel;mužský životný;vedel;mužský životný
som;;som;
,;;,;
aké;stredný;aké;stredný
má;;má;
meno;stredný;meno;stredný
.;;.;
Volala;ženský;Volala;ženský
sa;;sa;
Dolora;ženský;Dolora;ženský
.;;.;
Ale;;Ale;
mozog;mužský neživotný;mozog;mužský neživotný
mi;všeobecný;mi;všeobecný
nefungoval;mužský neživotný;nefungoval;mužský neživotný
.;;.;
A;;A;
povedal;mužský životný;povedal;mužský životný
som;;som;
jej;ženský;jej;ženský
,;;,;
že;;že;
je;;je;
inteligentné;stredný;inteligentné;stredný
dievča;stredný;dievča;stredný
.;;.;
Ako;;Ako;
som;;som;
takto;;takto;
táral;mužský životný;táral;mužský životný
,;;,;
pochopil;mužský životný;pochopil;mužský životný
som;;som;
,;;,;
že;;že;
rozprávam;;rozprávam;
hlúposti;ženský;hlúposti;ženský
.;;.;
Ale;;Ale;
Lori;ženský;Lori;ženský
pochopila;ženský;pochopila;ženský
zmysel;mužský neživotný;zmysel;mužský neživotný
mojich;stredný;mojich;stredný
slov;stredný;slov;stredný
po;;po;
svojom;stredný;svojom;stredný
.;;.;
Toto;stredný;Toto;stredný
mi;všeobecný;mi;všeobecný
vysvetľovala;ženský;vysvetľovala;ženský
aj;;aj;
stará;ženský;stará;ženský
mama;ženský;mama;ženský
z;;z;
otcovej;ženský;otcovej;ženský
strany;ženský;strany;ženský
,;;,;
povedala;ženský;povedala;ženský
.;;.;
Krist;mužský životný;Krist;mužský životný
,;;,;
nenamáhaj;;nenamáhaj;
sa;;sa;
,;;,;
nepoučuj;;nepoučuj;
ma;všeobecný;ma;všeobecný
o;;o;
tom;stredný;tom;stredný
,;;,;
o;;o;
čom;stredný;čom;stredný
ma;všeobecný;ma;všeobecný
stará;ženský;stará;ženský
mama;ženský;mama;ženský
poučila;ženský;poučila;ženský
už;;už;
dávno;;dávno;
‐;;‐;
pradávno;;pradávno;
.;;.;
Nie;;Nie;
si;;si;
moja;ženský;moja;ženský
stará;ženský;stará;ženský
mama;ženský;mama;ženský
.;;.;
.;;.;
.;;.;
A;;A;
,;;,;
prosím;;prosím;
ťa;všeobecný;ťa;všeobecný
,;;,;
nalej;;nalej;
mi;všeobecný;mi;všeobecný
ešte;;ešte;
raz;mužský neživotný;raz;mužský neživotný
do;;do;
tohto;mužský neživotný;tohto;mužský neživotný
pohára;mužský neživotný;pohára;mužský neživotný
!;;!;
Očervenela;ženský;Očervenela;ženský
a;;a;
zmena;ženský;zmena;ženský
v;;v;
jej;stredný;jej;stredný
správaní;stredný;správaní;stredný
ma;všeobecný;ma;všeobecný
rozrušila;ženský;rozrušila;ženský
.;;.;
Lorina;ženský;Lorina;ženský
tvár;ženský;tvár;ženský
nadobudla;ženský;nadobudla;ženský
purpurovú;ženský;purpurovú;ženský
farbu;ženský;farbu;ženský
,;;,;
pery;ženský;pery;ženský
sa;;sa;
jej;ženský;jej;ženský
roztvorili;ženský;roztvorili;ženský
.;;.;
Pomyslel;mužský životný;Pomyslel;mužský životný
som;;som;
si;;si;
,;;,;
že;;že;
plače;;plače;
.;;.;
Nepodarilo;stredný;Nepodarilo;stredný
sa;;sa;
mi;všeobecný;mi;všeobecný
to;stredný;to;stredný
.;;.;
Slovo;stredný;Slovo;stredný
„;;„;
idiot;mužský životný;idiot;mužský životný
“;;“;
mi;všeobecný;mi;všeobecný
uviazlo;stredný;uviazlo;stredný
v;;v;
hrdle;stredný;hrdle;stredný
.;;.;
Pritisla;ženský;Pritisla;ženský
sa;;sa;
mi;všeobecný;mi;všeobecný
tam;;tam;
tvár;ženský;tvár;ženský
Dolory;ženský;Dolory;ženský
.;;.;
Tvár;ženský;Tvár;ženský
Lizy;ženský;Lizy;ženský
.;;.;
Splývali;ženský;Splývali;ženský
pred;;pred;
mojím;mužský neživotný;mojím;mužský neživotný
duševným;mužský neživotný;duševným;mužský neživotný
zrakom;mužský neživotný;zrakom;mužský neživotný
v;;v;
podobe;ženský;podobe;ženský
Lori;ženský;Lori;ženský
,;;,;
ktorá;ženský;ktorá;ženský
bola;ženský;bola;ženský
ich;ženský;ich;ženský
poslednou;ženský;poslednou;ženský
metamorfózou;ženský;metamorfózou;ženský
.;;.;
Zviera;stredný;Zviera;stredný
vo;;vo;
mne;všeobecný;mne;všeobecný
zavylo;stredný;zavylo;stredný
.;;.;
V;;V;
tomto;stredný;tomto;stredný
omámení;stredný;omámení;stredný
som;;som;
si;;si;
spomenul;mužský životný;spomenul;mužský životný
na;;na;
niečo;stredný;niečo;stredný
zvláštne;stredný;zvláštne;stredný
,;;,;
čo;stredný;čo;stredný
som;;som;
kdesi;;kdesi;
čítal;mužský životný;čítal;mužský životný
alebo;;alebo;
počul;mužský životný;počul;mužský životný
.;;.;
Chcem;;Chcem;
byť;;byť;
tvojím;mužský životný;tvojím;mužský životný
kňazom;mužský životný;kňazom;mužský životný
,;;,;
povedal;mužský životný;povedal;mužský životný
som;;som;
jej;ženský;jej;ženský
.;;.;
Sedeli;všeobecný;Sedeli;všeobecný
sme;;sme;
pri;;pri;
stole;mužský neživotný;stole;mužský neživotný
oproti;;oproti;
sebe;všeobecný;sebe;všeobecný
.;;.;
To;stredný;To;stredný
sú;;sú;
moji;mužský životný;moji;mužský životný
rodičia;mužský životný;rodičia;mužský životný
,;;,;
povedala;ženský;povedala;ženský
.;;.;
Z;;Z;
jedného;stredný;jedného;stredný
na;;na;
mňa;všeobecný;mňa;všeobecný
upierala;ženský;upierala;ženský
zrak;mužský neživotný;zrak;mužský neživotný
Dolora;ženský;Dolora;ženský
.;;.;
A;;A;
v;;v;
mozgu;mužský neživotný;mozgu;mužský neživotný
sa;;sa;
mi;všeobecný;mi;všeobecný
vynorila;ženský;vynorila;ženský
zabudnutá;ženský;zabudnutá;ženský
scéna;ženský;scéna;ženský
.;;.;
Teraz;;Teraz;
som;;som;
cítil;mužský životný;cítil;mužský životný
,;;,;
že;;že;
nemám;;nemám;
silu;ženský;silu;ženský
pokračovať;;pokračovať;
pred;;pred;
Lori;ženský;Lori;ženský
.;;.;
Uniklo;stredný;Uniklo;stredný
mi;všeobecný;mi;všeobecný
„;;„;
ach;;ach;
!;;!;
“;;“;
.;;.;
Zároveň;;Zároveň;
sa;;sa;
pred;;pred;
mojím;mužský neživotný;mojím;mužský neživotný
duševným;mužský neživotný;duševným;mužský neživotný
zrakom;mužský neživotný;zrakom;mužský neživotný
naraz;;naraz;
objavilo;stredný;objavilo;stredný
dievčatko;stredný;dievčatko;stredný
.;;.;
Malé;stredný;Malé;stredný
,;;,;
naježené;stredný;naježené;stredný
,;;,;
modrooké;stredný;modrooké;stredný
.;;.;
Spýtal;mužský životný;Spýtal;mužský životný
som;;som;
sa;;sa;
ho;mužský životný;ho;stredný
,;;,;
ako;;ako;
sa;;sa;
volá;;volá;
,;;,;
ale;;ale;
ono;stredný;ono;stredný
mi;všeobecný;mi;všeobecný
nechcelo;stredný;nechcelo;stredný
povedať;;povedať;
svoje;stredný;svoje;stredný
meno;stredný;meno;stredný
.;;.;
To;stredný;To;stredný
je;;je;
tajomstvo;stredný;tajomstvo;stredný
,;;,;
povedalo;stredný;povedalo;stredný
,;;,;
neprezradím;;neprezradím;
ho;stredný;ho;stredný
každému;mužský životný;každému;mužský životný
.;;.;
Zjavilo;stredný;Zjavilo;stredný
sa;;sa;
mi;všeobecný;mi;všeobecný
vo;;vo;
sne;mužský neživotný;sne;mužský neživotný
a;;a;
mne;všeobecný;mne;všeobecný
stále;;stále;
znie;;znie;
v;;v;
ušiach;stredný;ušiach;stredný
jeho;mužský neživotný;jeho;mužský neživotný
hlas;mužský neživotný;hlas;mužský neživotný
.;;.;
Ten;mužský neživotný;Ten;mužský neživotný
medailón;mužský neživotný;medailón;mužský neživotný
patril;mužský neživotný;patril;mužský neživotný
mojej;ženský;mojej;ženský
mame;ženský;mame;ženský
.;;.;
Zaujímavá;ženský;Zaujímavá;ženský
nie;;nie;
je;;je;
ani;;ani;
smrť;ženský;smrť;ženský
otca;mužský životný;otca;mužský životný
mojej;ženský;mojej;ženský
mamy;ženský;mamy;ženský
,;;,;
ani;;ani;
smrť;ženský;smrť;ženský
môjho;mužský životný;môjho;mužský životný
otca;mužský životný;otca;mužský životný
.;;.;
V;;V;
skutočnosti;ženský;skutočnosti;ženský
to;stredný;to;stredný
nebola;ženský;nebola;ženský
nijaká;ženský;nijaká;ženský
vila;ženský;vila;ženský
.;;.;
Naopak;;Naopak;
,;;,;
mama;ženský;mama;ženský
sedávala;ženský;sedávala;ženský
za;;za;
stolom;mužský neživotný;stolom;mužský neživotný
a;;a;
písala;ženský;písala;ženský
listy;mužský neživotný;listy;mužský neživotný
.;;.;
Priateľky;ženský;Priateľky;ženský
a;;a;
príbuzní;mužský životný;príbuzní;mužský životný
ju;ženský;ju;ženský
ponechali;neurčiteľný;ponechali;neurčiteľný
svojmu;mužský neživotný;svojmu;mužský neživotný
osudu;mužský neživotný;osudu;mužský neživotný
.;;.;
Adresátom;mužský životný;Adresátom;mužský životný
jej;mužský neživotný;jej;mužský neživotný
listov;mužský neživotný;listov;mužský neživotný
bol;mužský životný;bol;mužský životný
otec;mužský životný;otec;mužský životný
,;;,;
a;;a;
ten;mužský životný;ten;mužský životný
sedel;mužský životný;sedel;mužský životný
vo;;vo;
väzení;stredný;väzení;stredný
.;;.;
Na;;Na;
otca;mužský životný;otca;mužský životný
sa;;sa;
nepamätám;;nepamätám;
.;;.;
Ten;mužský životný;Ten;mužský životný
telnatý;mužský životný;telnatý;mužský životný
muž;mužský životný;muž;mužský životný
sa;;sa;
ma;všeobecný;ma;všeobecný
nič;stredný;nič;stredný
nevypytoval;mužský životný;nevypytoval;mužský životný
.;;.;
Neskôr;;Neskôr;
mi;všeobecný;mi;všeobecný
Sergej;mužský životný;Sergej;mužský životný
povedal;mužský životný;povedal;mužský životný
,;;,;
že;;že;
obyvatelia;mužský životný;obyvatelia;mužský životný
vily;ženský;vily;ženský
volajú;;volajú;
toho;mužský životný;toho;mužský životný
muža;mužský životný;muža;mužský životný
Cerberus;mužský životný;Cerberus;mužský životný
.;;.;
Sergej;mužský životný;Sergej;mužský životný
mi;všeobecný;mi;všeobecný
vysvetlil;mužský životný;vysvetlil;mužský životný
,;;,;
že;;že;
tak;;tak;
sa;;sa;
volal;mužský životný;volal;mužský životný
jeden;mužský životný;jeden;mužský životný
hrôzostrašný;mužský životný;hrôzostrašný;mužský životný
pes;mužský životný;pes;mužský životný
.;;.;
Dnes;;Dnes;
by;;by;
som;;som;
povedala;ženský;povedala;ženský
,;;,;
že;;že;
som;;som;
bola;ženský;bola;ženský
zhypnotizovaná;ženský;zhypnotizovaná;ženský
.;;.;
Očakával;mužský životný;Očakával;mužský životný
náš;mužský neživotný;náš;mužský neživotný
príchod;mužský neživotný;príchod;mužský neživotný
.;;.;
Pomôžu;;Pomôžu;
vám;všeobecný;vám;všeobecný
vyniesť;;vyniesť;
nahor;;nahor;
veci;ženský;veci;ženský
,;;,;
povedal;mužský životný;povedal;mužský životný
Cerberus;mužský životný;Cerberus;mužský životný
a;;a;
podal;mužský životný;podal;mužský životný
ten;mužský neživotný;ten;mužský neživotný
kľúč;mužský neživotný;kľúč;mužský neživotný
mame;ženský;mame;ženský
.;;.;
Je;;Je;
to;stredný;to;stredný
na;;na;
druhom;stredný;druhom;stredný
poschodí;stredný;poschodí;stredný
.;;.;
Formality;ženský;Formality;ženský
vybavíme;;vybavíme;
zajtra;;zajtra;
.;;.;
V;;V;
Čarodejníckej;ženský;Čarodejníckej;ženský
vile;ženský;vile;ženský
sa;;sa;
nikto;mužský životný;nikto;mužský životný
netešil;mužský životný;netešil;mužský životný
takému;stredný;takému;stredný
privilégiu;stredný;privilégiu;stredný
.;;.;
Keď;;Keď;
vyniesli;mužský životný;vyniesli;mužský životný
nahor;;nahor;
aj;;aj;
poslednú;ženský;poslednú;ženský
stoličku;ženský;stoličku;ženský
,;;,;
bolo;stredný;bolo;stredný
už;;už;
celkom;;celkom;
tma;;tma;
.;;.;
Bol;mužský životný;Bol;mužský životný
vo;;vo;
väzení;stredný;väzení;stredný
a;;a;
do;;do;
väzenia;stredný;väzenia;stredný
zatvárajú;;zatvárajú;
zlých;mužský životný;zlých;mužský životný
ľudí;mužský životný;ľudí;mužský životný
,;;,;
ale;;ale;
otec;mužský životný;otec;mužský životný
nebol;mužský životný;nebol;mužský životný
zlý;mužský životný;zlý;mužský životný
človek;mužský životný;človek;mužský životný
.;;.;
Pomyslela;ženský;Pomyslela;ženský
som;;som;
si;;si;
,;;,;
že;;že;
píše;;píše;
otcovi;mužský životný;otcovi;mužský životný
.;;.;
Mama;ženský;Mama;ženský
postupne;;postupne;
napísala;ženský;napísala;ženský
otcovi;mužský životný;otcovi;mužský životný
niekoľko;stredný;niekoľko;stredný
listov;mužský neživotný;listov;mužský neživotný
,;;,;
ale;;ale;
on;mužský životný;on;mužský životný
jej;ženský;jej;ženský
neodpovedal;mužský životný;neodpovedal;mužský životný
.;;.;
Z;;Z;
tohto;stredný;tohto;stredný
hľadiska;stredný;hľadiska;stredný
meriam;;meriam;
obdobie;stredný;obdobie;stredný
svojho;mužský neživotný;svojho;mužský neživotný
pobytu;mužský neživotný;pobytu;mužský neživotný
v;;v;
Čarodejníckej;ženský;Čarodejníckej;ženský
vile;ženský;vile;ženský
podľa;;podľa;
intervalov;mužský neživotný;intervalov;mužský neživotný
,;;,;
v;;v;
akých;mužský neživotný;akých;mužský neživotný
otec;mužský životný;otec;mužský životný
odpovedal;mužský životný;odpovedal;mužský životný
na;;na;
mamine;mužský neživotný;mamine;mužský neživotný
listy;mužský neživotný;listy;mužský neživotný
.;;.;
Zistila;ženský;Zistila;ženský
som;;som;
to;stredný;to;stredný
až;;až;
po;;po;
jej;ženský;jej;ženský
smrti;ženský;smrti;ženský
.;;.;
Medzitým;;Medzitým;
som;;som;
sa;;sa;
už;;už;
naučila;ženský;naučila;ženský
čítať;;čítať;
,;;,;
a;;a;
keď;;keď;
som;;som;
ich;mužský neživotný;ich;mužský neživotný
našla;ženský;našla;ženský
,;;,;
hneď;;hneď;
som;;som;
si;;si;
ich;mužský neživotný;ich;mužský neživotný
,;;,;
samozrejme;;samozrejme;
,;;,;
prečítala;ženský;prečítala;ženský
.;;.;
Viem;;Viem;
ich;mužský neživotný;ich;mužský neživotný
takmer;;takmer;
naspamäť;;naspamäť;
.;;.;
Podľa;;Podľa;
mňa;všeobecný;mňa;všeobecný
boli;mužský životný;boli;mužský životný
pôvodcami;mužský životný;pôvodcami;mužský životný
jej;stredný;jej;stredný
stáleho;stredný;stáleho;stredný
utrpenia;stredný;utrpenia;stredný
muži;mužský životný;muži;mužský životný
.;;.;
Vďaka;;Vďaka;
týmto;ženský;týmto;ženský
skúsenostiam;ženský;skúsenostiam;ženský
pre;;pre;
mňa;všeobecný;mňa;všeobecný
teoreticky;;teoreticky;
neexistovalo;stredný;neexistovalo;stredný
nijaké;stredný;nijaké;stredný
tajomstvo;stredný;tajomstvo;stredný
súvisiace;stredný;súvisiace;stredný
s;;s;
túžbami;ženský;túžbami;ženský
,;;,;
ktoré;ženský;ktoré;ženský
nútia;;nútia;
muža;mužský životný;muža;mužský životný
pokúšať;;pokúšať;
sa;;sa;
o;;o;
zblíženie;stredný;zblíženie;stredný
so;;so;
ženou;ženský;ženou;ženský
.;;.;
Prvý;mužský životný;Prvý;mužský životný
z;;z;
nich;mužský životný;nich;mužský životný
bol;mužský životný;bol;mužský životný
Zhlúpnutý;mužský životný;Zhlúpnutý;mužský životný
Sokrates;mužský životný;Sokrates;mužský životný
.;;.;
Už;;Už;
dávno;;dávno;
dostal;mužský životný;dostal;mužský životný
prezývku;ženský;prezývku;ženský
podľa;;podľa;
starovekého;mužský životný;starovekého;mužský životný
filozofa;mužský životný;filozofa;mužský životný
a;;a;
už;;už;
dávno;;dávno;
si;;si;
nikto;mužský životný;nikto;mužský životný
nepamätal;mužský životný;nepamätal;mužský životný
,;;,;
ako;;ako;
sa;;sa;
skutočne;;skutočne;
volá;;volá;
.;;.;
Prvý;mužský životný;Prvý;mužský životný
bol;mužský životný;bol;mužský životný
Zhlúpnutý;mužský životný;Zhlúpnutý;mužský životný
Sokrates;mužský životný;Sokrates;mužský životný
,;;,;
druhý;mužský životný;druhý;mužský životný
bol;mužský životný;bol;mužský životný
Sergej;mužský životný;Sergej;mužský životný
.;;.;
Vtedy;;Vtedy;
mi;všeobecný;mi;všeobecný
mama;ženský;mama;ženský
povedala;ženský;povedala;ženský
,;;,;
aby;;aby;
som;;som;
nebola;ženský;nebola;ženský
smutná;ženský;smutná;ženský
.;;.;
Nikdy;;Nikdy;
predtým;;predtým;
som;;som;
nevidela;ženský;nevidela;ženský
živú;ženský;živú;ženský
korytnačku;ženský;korytnačku;ženský
.;;.;
Keď;;Keď;
to;stredný;to;stredný
povedal;mužský životný;povedal;mužský životný
,;;,;
položil;mužský životný;položil;mužský životný
mi;všeobecný;mi;všeobecný
nečakanú;ženský;nečakanú;ženský
otázku;ženský;otázku;ženský
.;;.;
Volám;;Volám;
sa;;sa;
Sergej;mužský životný;Sergej;mužský životný
.;;.;
To;stredný;To;stredný
nie;;nie;
je;;je;
sovietske;stredný;sovietske;stredný
meno;stredný;meno;stredný
,;;,;
vysvetlila;ženský;vysvetlila;ženský
mi;všeobecný;mi;všeobecný
v;;v;
ten;mužský neživotný;ten;mužský neživotný
večer;mužský neživotný;večer;mužský neživotný
mama;ženský;mama;ženský
.;;.;
Zároveň;;Zároveň;
som;;som;
sa;;sa;
dozvedela;ženský;dozvedela;ženský
niečo;stredný;niečo;stredný
,;;,;
čo;stredný;čo;stredný
som;;som;
nevedela;ženský;nevedela;ženský
.;;.;
Moje;stredný;Moje;stredný
meno;stredný;meno;stredný
je;;je;
skrátenou;ženský;skrátenou;ženský
podobou;ženský;podobou;ženský
maminho;stredný;maminho;stredný
mena;stredný;mena;stredný
.;;.;
Také;stredný;Také;stredný
meno;stredný;meno;stredný
si;;si;
želal;mužský životný;želal;mužský životný
môj;mužský životný;môj;mužský životný
otec;mužský životný;otec;mužský životný
.;;.;
Namiesto;;Namiesto;
nich;ženský;nich;ženský
mal;mužský životný;mal;mužský životný
drobnú;ženský;drobnú;ženský
kartónovú;ženský;kartónovú;ženský
škatuľku;ženský;škatuľku;ženský
a;;a;
v;;v;
nej;ženský;nej;ženský
dva;mužský neživotný;dva;mužský neživotný
chrústy;mužský neživotný;chrústy;mužský neživotný
.;;.;
Chcela;ženský;Chcela;ženský
som;;som;
sa;;sa;
spýtať;;spýtať;
,;;,;
kde;;kde;
tie;mužský neživotný;tie;mužský neživotný
chrústy;mužský neživotný;chrústy;mužský neživotný
našiel;mužský životný;našiel;mužský životný
.;;.;
Nespýtala;ženský;Nespýtala;ženský
som;;som;
sa;;sa;
ho;mužský životný;ho;mužský životný
to;stredný;to;stredný
.;;.;
Bála;ženský;Bála;ženský
som;;som;
sa;;sa;
,;;,;
že;;že;
mi;všeobecný;mi;všeobecný
povie;;povie;
,;;,;
že;;že;
ich;mužský neživotný;ich;mužský neživotný
chytil;mužský životný;chytil;mužský životný
,;;,;
keď;;keď;
sa;;sa;
milovali;mužský neživotný;milovali;mužský neživotný
.;;.;
Namiesto;;Namiesto;
toho;stredný;toho;stredný
som;;som;
ho;mužský životný;ho;mužský životný
opäť;;opäť;
poprosila;ženský;poprosila;ženský
,;;,;
aby;;aby;
mi;všeobecný;mi;všeobecný
dovoliť;;dovoliť;
dotknúť;;dotknúť;
sa;;sa;
ich;mužský neživotný;ich;mužský neživotný
.;;.;
Sergej;mužský životný;Sergej;mužský životný
držal;mužský životný;držal;mužský životný
druhý;mužský neživotný;druhý;mužský neživotný
koniec;mužský neživotný;koniec;mužský neživotný
nite;ženský;nite;ženský
.;;.;
Ešte;;Ešte;
aj;;aj;
dnes;;dnes;
cítim;;cítim;
na;;na;
sebe;všeobecný;sebe;všeobecný
